dataset,original_records,final_records,missing_values,duplicates,invalid_references,invalid_values,outliers
accounts.csv,1000,1020,50,20,0,0,0
customers.csv,50000,51000,2500,1000,510,0,0
suppliers.csv,1000,1020,50,20,0,0,0
products.csv,5000,5100,250,100,51,0,50
locations.csv,100,102,5,2,0,0,0
employees.csv,5000,5100,250,100,51,0,0
machines.csv,2000,2040,100,40,20,0,0
sales.csv,500000,510000,25000,10000,20400,10200,10200
production.csv,200000,204000,10000,4000,8160,4080,3060
maintenance.csv,50000,51000,2500,1000,1530,1020,510
financial_transactions.csv,300000,306000,15000,6000,3060,3060,1530
budget.csv,20000,20400,1000,400,204,204,102
energy.csv,100000,102000,5000,2000,1020,1020,510
emissions.csv,100000,102000,5000,2000,1020,1020,510
waste.csv,100000,102000,5000,2000,1020,1020,510
inventory.csv,500000,510000,25000,10000,10200,15300,7650
