budget_id,date,location_id,category,budget_amount
BUD-0000001,2024-10-29,LOC-0042,Maintenance,48089.14
BUD-0000002,2019-05-18,LOC-0071,Energy,8931.66
BUD-0000003,2022-08-24,LOC-0019,Production,13139.57
BUD-0000004,2023-05-13,LOC-0019,Maintenance,4232.02
BUD-0000005,2019-09-02,LOC-0090,Operations,18236.75
BUD-0000006,2019-04-13,LOC-0052,Production,30239.99
BUD-0000007,2025-04-06,LOC-0040,Supply Chain,30890.93
BUD-0000008,2023-05-07,LOC-0025,Administration,12933.89
BUD-0000009,2020-12-27,LOC-0030,Operations,41620.85
BUD-0000010,2019-11-16,LOC-0032,Energy,57247.66
BUD-0000011,2025-11-06,LOC-0070,Maintenance,34169.25
BUD-0000012,2019-12-25,LOC-0025,Production,34124.46
BUD-0000013,2024-07-10,LOC-0006,Supply Chain,86517.18
BUD-0000014,2019-05-07,LOC-0057,Operations,6690.0
BUD-0000015,2023-05-17,LOC-0059,Production,19168.53
BUD-0000016,2020-01-04,LOC-0095,Administration,21837.0
BUD-0000017,2019-07-10,LOC-0073,Energy,19819.73
BUD-0000018,2020-06-18,LOC-0096,Energy,59446.8
BUD-0000019,2019-04-09,LOC-0087,Energy,20021.04
BUD-0000020,2022-08-18,LOC-0021,Supply Chain,16220.73
BUD-0000021,2021-07-14,LOC-0020,Maintenance,10220.66
BUD-0000022,2023-09-15,LOC-0088,Production,41161.53
BUD-0000023,2022-06-21,LOC-0049,Administration,28328.09
BUD-0000024,2022-11-20,LOC-0061,Supply Chain,67977.74
BUD-0000025,2022-05-11,LOC-0073,Operations,5310.27
BUD-0000026,2019-12-11,LOC-0059,Supply Chain,14896.92
BUD-0000027,2025-01-04,LOC-0065,Operations,81085.37
BUD-0000028,2021-05-04,LOC-0013,Maintenance,11752.98
BUD-0000029,2025-03-17,LOC-0029,Operations,59191.5
BUD-0000030,2020-12-10,LOC-0061,Supply Chain,9234.24
BUD-0000031,2019-09-28,LOC-0004,Maintenance,32752.78
BUD-0000032,2022-11-06,LOC-0003,Supply Chain,66368.14
BUD-0000033,2019-01-30,LOC-0017,Maintenance,8874.59
BUD-0000034,2024-01-17,LOC-0046,Operations,35381.25
BUD-0000035,2023-03-16,LOC-0063,Supply Chain,3543.34
BUD-0000036,2020-10-20,LOC-0081,Production,4439.81
BUD-0000037,2021-02-09,LOC-0056,Administration,7236.02
BUD-0000038,2023-01-29,LOC-0012,Supply Chain,31467.49
BUD-0000039,2023-08-12,LOC-0095,Maintenance,29264.73
BUD-0000040,2024-12-30,LOC-0049,Supply Chain,120322.42
BUD-0000041,2024-05-15,LOC-0035,Supply Chain,13239.75
BUD-0000042,2024-07-24,LOC-0066,Administration,27816.52
BUD-0000043,2020-08-25,LOC-0088,Production,21509.94
BUD-0000044,2024-10-20,LOC-0083,Production,12216.83
BUD-0000045,2019-03-06,LOC-0045,Operations,41719.17
BUD-0000046,2025-08-16,LOC-0096,Maintenance,62346.65
BUD-0000047,2024-12-24,LOC-0022,Supply Chain,20340.21
BUD-0000048,2022-12-24,LOC-0002,Administration,17958.38
