customer_id,account_id,customer_name,customer_segment,industry,country,status
CUST-0000001,ACC-000901,"Howard, Silva and Hall",Enterprise,Electronics,Canada,Active
CUST-0000002,ACC-000415,Garcia Ltd,SMB,Food & Beverage,United States,Active
CUST-0000003,ACC-000970,Adams Ltd,SMB,Manufacturing,United States,Active
CUST-0000004,ACC-000571,Gallagher and Sons,SMB,Healthcare,United Kingdom,Active
CUST-0000005,ACC-000386,"Bradford, Salinas and Kelly",Enterprise,Retail,United States,Active
CUST-0000006,ACC-000001,Thompson PLC,Commercial,Construction,Mexico,Active
CUST-0000007,ACC-000612,Drake-Wolfe,Commercial,Manufacturing,United States,Active
CUST-0000008,ACC-000645,"Johnson, Haynes and Meza",Commercial,Electronics,United States,Active
CUST-0000009,ACC-000969,"Thomas, Vaughan and Copeland",Strategic,Manufacturing,Canada,Active
CUST-0000010,ACC-000719,Weaver-Thompson,Enterprise,Healthcare,Sweden,Active
CUST-0000011,ACC-000030,Davis and Sons,Commercial,Automotive,United States,Active
CUST-0000012,ACC-000568,"Robinson, Fox and Smith",Commercial,Manufacturing,Sweden,Active
CUST-0000013,ACC-000743,"Harris, Anderson and Love",Commercial,Electronics,United States,Active
CUST-0000014,ACC-000497,Brown-Hernandez,Commercial,Consumer Goods,United States,Active
CUST-0000015,ACC-000430,"Stark, Schroeder and Mathis",Commercial,Consumer Goods,United States,Active
CUST-0000016,ACC-000810,Yu-Brooks,SMB,Manufacturing,United Kingdom,Active
CUST-0000017,ACC-000612,"Foster, Garcia and Turner",Strategic,Industrial Equipment,United States,Active
CUST-0000018,ACC-000682,Daugherty Ltd,SMB,Technology,Sweden,Active
CUST-0000019,ACC-000465,Conner-Yu,Strategic,Construction,Germany,Active
CUST-0000020,ACC-000279,"Stewart, Mann and Hoffman",Commercial,Industrial Equipment,United States,Active
CUST-0000021,ACC-000520,"Buchanan, Walker and Chapman",Strategic,Consumer Goods,United States,Active
CUST-0000022,ACC-000960,Gray Ltd,Commercial,Manufacturing,United States,Active
CUST-0000023,ACC-000603,"Phillips, Thompson and Smith",Enterprise,Construction,Germany,Active
CUST-0000024,ACC-000708,"Fry, Myers and Gamble",Commercial,Retail,United States,Inactive
CUST-0000025,ACC-000125,"Johnson, Guzman and Mccall",Commercial,Food & Beverage,United States,Active
CUST-0000026,ACC-000988,"Walker, Cunningham and Zuniga",SMB,Retail,Germany,Active
CUST-0000027,ACC-000245,Rivera Inc,Enterprise,Electronics,Germany,Active
CUST-0000028,ACC-000972,Reed LLC,Commercial,Automotive,United Kingdom,Inactive
CUST-0000029,ACC-000446,Fields Inc,Commercial,Consumer Goods,Sweden,Active
CUST-0000030,ACC-000919,"Santiago, Daniel and Rogers",Commercial,Electronics,United States,Active
CUST-0000031,ACC-000892,Baker and Sons,SMB,Construction,Germany,Active
CUST-0000032,ACC-000756,"Jones, Scott and Rodriguez",Commercial,Healthcare,United States,Active
CUST-0000033,ACC-000917,Williams Group,Commercial,Retail,United States,Inactive
CUST-0000034,ACC-000610,"Barnes, Jackson and Gutierrez",SMB,Electronics,United States,Active
CUST-0000035,ACC-000849,Bell-Bennett,SMB,Automotive,United States,Active
CUST-0000036,ACC-000173,Kramer-Lane,Commercial,Consumer Goods,Germany,Active
CUST-0000037,ACC-000071,"Perez, Hayes and Lloyd",Commercial,Food & Beverage,United States,Active
CUST-0000038,ACC-000544,Phillips LLC,Strategic,Technology,Sweden,Active
CUST-0000039,ACC-000810,Lynn-Jones,Commercial,Healthcare,United Kingdom,Active
CUST-0000040,ACC-000766,Barron and Sons,Commercial,Manufacturing,United States,Active
CUST-0000041,ACC-000528,"Jones, Mcmahon and Spence",Enterprise,Consumer Goods,United States,Active
CUST-0000042,ACC-000521,Wheeler-Austin,Enterprise,Consumer Goods,Mexico,Active
CUST-0000043,ACC-000610,Bush-Reynolds,Strategic,Construction,United States,Active
CUST-0000044,ACC-000869,"Martin, Preston and Moore",Strategic,Consumer Goods,United States,Active
CUST-0000045,ACC-000842,Rivera and Sons,Commercial,Technology,United States,Active
CUST-0000046,ACC-000110,Terry-Bowen,SMB,Industrial Equipment,United States,Active
CUST-0000047,ACC-000596,"Fernandez, Guerrero and Evans",SMB,Healthcare,United States,Active
CUST-0000048,ACC-000381,Williams PLC,Commercial,Food & Beverage,United States,Active
CUST-0000049,ACC-000800,"Larsen, Hernandez and Ward",SMB,Construction,Germany,Active
CUST-0000050,ACC-000506,Miller-Colon,Strategic,Electronics,United Kingdom,Active
CUST-0000051,ACC-000992,"Greene, Gonzalez and Johnson",Commercial,Construction,United States,Active
CUST-0000052,ACC-000433,Little Inc,Enterprise,Retail,Germany,Active
CUST-0000053,ACC-000680,Anthony-Parker,SMB,Consumer Goods,Sweden,Active
CUST-0000054,ACC-000109,Ruiz-Jacobson,SMB,Technology,United States,Active
CUST-0000055,ACC-000933,Davis-Stephens,Commercial,Consumer Goods,Canada,Active
CUST-0000056,ACC-000154,Watson Group,Commercial,Electronics,United States,Active
CUST-0000057,ACC-000379,Lopez-Williams,SMB,Automotive,United States,Inactive
CUST-0000058,ACC-000838,Marshall-Perez,Commercial,Industrial Equipment,United States,Active
CUST-0000059,ACC-000968,Elliott-Hernandez,SMB,Construction,Canada,Active
CUST-0000060,ACC-000485,"Contreras, Miller and Cooper",SMB,Electronics,Canada,Active
CUST-0000061,ACC-000485,"Gutierrez, Avila and Perez",Commercial,Technology,Canada,Active
CUST-0000062,ACC-000049,Randall PLC,SMB,Technology,United States,Active
CUST-0000063,ACC-000979,Sheppard-Mcdaniel,SMB,Automotive,United States,Active
CUST-0000064,ACC-000017,Armstrong-Young,Enterprise,Food & Beverage,United States,Active
CUST-0000065,ACC-000027,Miller-Orr,Commercial,Healthcare,United States,Active
CUST-0000066,ACC-000474,"Johnson, Duncan and Black",Commercial,Consumer Goods,United States,Active
CUST-0000067,ACC-000004,"Byrd, Oliver and Martinez",SMB,Automotive,United States,Active
CUST-0000068,ACC-000165,Thompson-Joyce,SMB,Electronics,Sweden,Active
CUST-0000069,ACC-000628,Stokes and Sons,Enterprise,Food & Beverage,United States,Active
CUST-0000070,ACC-000706,Henderson Ltd,SMB,Electronics,Canada,Active
CUST-0000071,ACC-000299,Harris-Carson,SMB,Retail,Canada,Active
CUST-0000072,ACC-000796,Flowers LLC,Enterprise,Healthcare,United States,Active
CUST-0000073,ACC-000608,Bartlett-Sloan,Commercial,Electronics,Sweden,Active
CUST-0000074,ACC-000229,Miller PLC,SMB,Automotive,United States,Active
CUST-0000075,ACC-000713,Arnold-Gates,Commercial,Technology,United Kingdom,Active
CUST-0000076,ACC-000593,"Ellis, Marks and Buchanan",SMB,Industrial Equipment,Canada,Active
CUST-0000077,ACC-000813,"Matthews, Harrington and Rodriguez",Commercial,Retail,United States,Active
CUST-0000078,ACC-000155,Hernandez PLC,Commercial,Manufacturing,Sweden,Active
CUST-0000079,ACC-000231,"Chang, Ayers and Buckley",Commercial,Industrial Equipment,Sweden,Active
CUST-0000080,ACC-000304,"Chan, Floyd and Dillon",Commercial,Consumer Goods,Mexico,Active
CUST-0000081,ACC-000342,Humphrey-Baker,Strategic,Consumer Goods,Canada,Active
CUST-0000082,ACC-000889,"Washington, Lynch and Johnson",Commercial,Consumer Goods,Germany,Active
CUST-0000083,ACC-000733,Powell-Montgomery,Commercial,Industrial Equipment,United States,Active
CUST-0000084,ACC-000545,"Steele, Williams and Preston",Commercial,Electronics,Sweden,Active
CUST-0000085,ACC-000541,Vaughn-Williams,SMB,Construction,United States,Active
CUST-0000086,ACC-000886,Mccall-Prince,Commercial,Healthcare,Germany,Active
CUST-0000087,ACC-000447,Morgan LLC,SMB,Automotive,United States,Active
CUST-0000088,ACC-000226,Ramirez-Vasquez,Commercial,Construction,United States,Active
CUST-0000089,ACC-000137,"Cohen, Compton and Perez",Commercial,Retail,United States,Active
CUST-0000090,ACC-000331,Mccann-Ramos,SMB,Healthcare,United States,Active
CUST-0000091,ACC-000654,Adams-Butler,Commercial,Consumer Goods,Germany,Active
CUST-0000092,ACC-000471,"Davis, Alexander and Mcintyre",SMB,Industrial Equipment,United States,Active
