account_key,account_id,account_name,account_type,industry,country,status
1,ACC-000001,"Rodriguez, Figueroa and Sanchez",Enterprise,Technology,Mexico,Active
2,ACC-000002,Doyle Ltd,Small Business,Healthcare,United States,Inactive
3,ACC-000003,"Mcclain, Miller and Henderson",Mid-Market,Retail,Canada,Active
4,ACC-000004,Davis and Sons,Mid-Market,Technology,Germany,Active
5,ACC-000005,"Guzman, Hoffman and Baldwin",Mid-Market,Manufacturing,Sweden,Active
6,ACC-000006,"Gardner, Robinson and Lawrence",Small Business,Technology,United States,Active
7,ACC-000007,Blake and Sons,Enterprise,Technology,Germany,Active
8,ACC-000008,"Henderson, Ramirez and Lewis",Small Business,Retail,United States,Active
9,ACC-000009,Garcia-James,Enterprise,Healthcare,Sweden,Active
10,ACC-000010,Abbott-Munoz,Enterprise,Retail,Sweden,Active
11,ACC-000011,Blair PLC,Mid-Market,Automotive,Germany,Active
12,ACC-000012,Dudley Group,Small Business,Healthcare,Canada,Active
13,ACC-000013,Arnold Ltd,Small Business,Automotive,United States,Active
14,ACC-000014,"Mcclure, Ward and Lee",Small Business,Automotive,Mexico,Active
15,ACC-000015,Williams and Sons,Small Business,Retail,Sweden,Active
16,ACC-000016,Galloway-Wyatt,Small Business,Technology,Canada,Active
17,ACC-000017,James Group,Mid-Market,Automotive,Germany,Active
18,ACC-000018,"Flowers, Martin and Kelly",Enterprise,Retail,Sweden,Inactive
19,ACC-000019,"Adams, Zuniga and Wong",Small Business,Manufacturing,Sweden,Active
20,ACC-000020,"Reid, Ferguson and Sanchez",Mid-Market,Manufacturing,Germany,Active
21,ACC-000021,Gray-Mayo,Mid-Market,Manufacturing,Canada,Active
22,ACC-000022,"Watts, Robinson and Nguyen",Mid-Market,Manufacturing,Sweden,Active
23,ACC-000023,Perez Inc,Enterprise,Technology,Sweden,Active
24,ACC-000024,Morales-Jones,Small Business,Technology,Germany,Active
25,ACC-000025,"Walter, Edwards and Rios",Small Business,Technology,United States,Active
26,ACC-000026,Wilkerson-Day,Mid-Market,Manufacturing,Germany,Active
27,ACC-000027,Baker and Sons,Mid-Market,,Sweden,Active
28,ACC-000028,"Hoffman, Baker and Richards",Small Business,Automotive,Mexico,Active
29,ACC-000029,"Ross, Robinson and Bright",Mid-Market,Retail,Germany,Active
30,ACC-000030,"Snyder, Campos and Callahan",Mid-Market,Automotive,Canada,Active
31,ACC-000031,Burton Ltd,Mid-Market,Retail,Germany,Active
32,ACC-000032,Carlson-Cruz,Enterprise,Manufacturing,United States,Active
33,ACC-000033,"Ferrell, Rice and Maddox",Enterprise,Healthcare,United States,Active
34,ACC-000034,Frazier Inc,Mid-Market,Automotive,Sweden,Active
35,ACC-000035,"Dyer, Potter and Mack",Small Business,Manufacturing,Mexico,Active
36,ACC-000036,Rodriguez-Graham,Enterprise,Healthcare,Mexico,Active
37,ACC-000037,Smith-Bowen,Small Business,Technology,Germany,Active
38,ACC-000038,"Baker, Mason and White",Small Business,Manufacturing,United States,Active
39,ACC-000039,Harrell LLC,Enterprise,Retail,Mexico,Active
40,ACC-000040,"Romero, Gonzalez and Brooks",Mid-Market,Technology,Germany,Active
41,ACC-000041,Ryan PLC,Enterprise,Healthcare,Canada,Active
42,ACC-000042,George Group,Small Business,Technology,Mexico,Active
43,ACC-000043,Rodriguez LLC,Small Business,Retail,Sweden,Active
44,ACC-000044,Allen-Allen,Mid-Market,Automotive,Sweden,Active
45,ACC-000045,"Arroyo, Miller and Tucker",Enterprise,Healthcare,Canada,Active
46,ACC-000046,Spence PLC,Small Business,Manufacturing,Mexico,Active
47,ACC-000047,Anderson Group,Mid-Market,Automotive,Germany,Active
48,ACC-000048,"Martin, Rose and Obrien",Small Business,Healthcare,Germany,Active
49,ACC-000049,Hickman Ltd,Small Business,Healthcare,Sweden,Active
50,ACC-000050,"Harris, Collins and Carney",Small Business,Manufacturing,Sweden,Active
51,ACC-000051,"Brooks, Lam and Hayes",Small Business,Retail,United States,Active
52,ACC-000052,Walker LLC,Enterprise,Automotive,Canada,Active
53,ACC-000053,Chapman and Sons,Mid-Market,Retail,Canada,Active
54,ACC-000054,"Robinson, Jones and Welch",Mid-Market,Technology,Mexico,Active
