customer_key,customer_id,account_key,customer_name,customer_segment,industry,country,status
1,CUS-000001,198,"Howard, Silva and Hall",Mid-Market,Retail,Sweden,Active
2,CUS-000002,34,Garcia Ltd,Mid-Market,Retail,Canada,Active
3,CUS-000003,628,Adams Ltd,Mid-Market,Retail,Germany,Inactive
4,CUS-000004,684,Gallagher and Sons,Enterprise,Healthcare,Germany,Active
5,CUS-000005,773,"Bradford, Salinas and Kelly",Mid-Market,Manufacturing,Sweden,Active
6,CUS-000006,951,Thompson PLC,Mid-Market,Technology,United States,Active
7,CUS-000007,498,Drake-Wolfe,Enterprise,Automotive,Canada,Active
8,CUS-000008,830,"Johnson, Haynes and Meza",SMB,Automotive,Mexico,Inactive
9,CUS-000009,717,"Thomas, Vaughan and Copeland",Enterprise,Retail,Germany,Active
10,CUS-000010,278,Weaver-Thompson,Mid-Market,Technology,Sweden,Active
11,CUS-000011,846,Davis and Sons,SMB,Technology,Canada,Active
12,CUS-000012,54,"Robinson, Fox and Smith",SMB,Retail,Mexico,Active
13,CUS-000013,599,"Harris, Anderson and Love",Mid-Market,Retail,Sweden,Active
14,CUS-000014,941,Brown-Hernandez,SMB,Retail,Mexico,Active
15,CUS-000015,659,"Stark, Schroeder and Mathis",Mid-Market,Healthcare,Mexico,Inactive
16,CUS-000016,938,Yu-Brooks,SMB,Technology,Sweden,Active
17,CUS-000017,57,"Foster, Garcia and Turner",SMB,Manufacturing,United States,Active
18,CUS-000018,533,Daugherty Ltd,Mid-Market,Retail,United States,Active
19,CUS-000019,781,Conner-Yu,Mid-Market,Retail,Canada,Active
20,CUS-000020,643,"Stewart, Mann and Hoffman",Enterprise,Healthcare,Germany,Active
21,CUS-000021,881,"Buchanan, Walker and Chapman",SMB,Manufacturing,Canada,Active
22,CUS-000022,463,Gray Ltd,SMB,Retail,United States,Active
23,CUS-000023,683,"Phillips, Thompson and Smith",SMB,Healthcare,United States,Active
24,CUS-000024,420,"Fry, Myers and Gamble",Mid-Market,Manufacturing,Germany,Active
25,CUS-000025,873,"Johnson, Guzman and Mccall",Enterprise,Manufacturing,United States,Active
26,CUS-000026,120,"Walker, Cunningham and Zuniga",SMB,Manufacturing,Mexico,Active
27,CUS-000027,255,Rivera Inc,Enterprise,Technology,Canada,Active
28,CUS-000028,97,Reed LLC,Mid-Market,Technology,Canada,Active
29,CUS-000029,703,Fields Inc,Enterprise,Retail,Canada,Inactive
30,CUS-000030,233,"Santiago, Daniel and Rogers",Mid-Market,Technology,Canada,Active
31,CUS-000031,318,Baker and Sons,Enterprise,Retail,Sweden,Active
32,CUS-000032,837,"Jones, Scott and Rodriguez",Enterprise,Technology,Canada,Inactive
33,CUS-000033,361,Williams Group,Mid-Market,Manufacturing,Germany,Active
34,CUS-000034,146,"Barnes, Jackson and Gutierrez",Mid-Market,Healthcare,Germany,Inactive
35,CUS-000035,21,Bell-Bennett,SMB,Healthcare,Mexico,Active
36,CUS-000036,227,Kramer-Lane,Mid-Market,Healthcare,Mexico,Active
37,CUS-000037,915,"Perez, Hayes and Lloyd",Enterprise,Retail,Canada,Active
38,CUS-000038,549,Phillips LLC,SMB,Automotive,Germany,Active
39,CUS-000039,995,Lynn-Jones,Mid-Market,Manufacturing,United States,Active
40,CUS-000040,216,Barron and Sons,SMB,Healthcare,Sweden,Active
41,CUS-000041,352,"Jones, Mcmahon and Spence",SMB,Retail,Germany,Active
42,CUS-000042,164,Wheeler-Austin,Mid-Market,Retail,Canada,Active
43,CUS-000043,399,Bush-Reynolds,Enterprise,Manufacturing,Mexico,Active
44,CUS-000044,564,"Martin, Preston and Moore",Mid-Market,Automotive,Canada,Active
45,CUS-000045,809,Rivera and Sons,SMB,Technology,Canada,Active
46,CUS-000046,369,Terry-Bowen,Enterprise,Healthcare,Canada,Active
47,CUS-000047,772,"Fernandez, Guerrero and Evans",SMB,Healthcare,Sweden,Active
48,CUS-000048,627,Williams PLC,Mid-Market,Manufacturing,United States,Active
49,CUS-000049,292,"Larsen, Hernandez and Ward",Mid-Market,Retail,Mexico,Active
50,CUS-000050,913,Miller-Colon,SMB,Retail,Mexico,Inactive
51,CUS-000051,435,"Greene, Gonzalez and Johnson",SMB,Healthcare,United States,Active
52,CUS-000052,151,Little Inc,SMB,Healthcare,Sweden,Active
53,CUS-000053,963,Anthony-Parker,Enterprise,Manufacturing,United States,Active
54,CUS-000054,914,Ruiz-Jacobson,Mid-Market,Technology,United States,Active
55,CUS-000055,50,Davis-Stephens,Mid-Market,Manufacturing,Sweden,Active
56,CUS-000056,903,Watson Group,SMB,Retail,Germany,Active
57,CUS-000057,948,Lopez-Williams,Enterprise,Automotive,Mexico,Active
58,CUS-000058,830,Marshall-Perez,Enterprise,Automotive,Sweden,Active
59,CUS-000059,255,Elliott-Hernandez,Enterprise,Retail,United States,Active
60,CUS-000060,632,"Contreras, Miller and Cooper",SMB,Retail,Mexico,Active
61,CUS-000061,539,"Gutierrez, Avila and Perez",Mid-Market,Manufacturing,Canada,Active
62,CUS-000062,621,Randall PLC,SMB,Manufacturing,United States,Active
63,CUS-000063,617,Sheppard-Mcdaniel,Enterprise,Healthcare,Canada,Inactive
64,CUS-000064,640,Armstrong-Young,Enterprise,Manufacturing,United States,Active
65,CUS-000065,515,Miller-Orr,Mid-Market,Automotive,Canada,Active
66,CUS-000066,691,"Johnson, Duncan and Black",SMB,Technology,Canada,Inactive
67,CUS-000067,527,"Byrd, Oliver and Martinez",Mid-Market,Automotive,Mexico,Active
68,CUS-000068,17,Thompson-Joyce,Enterprise,Manufacturing,Canada,Active
69,CUS-000069,36,Stokes and Sons,Mid-Market,Retail,Germany,Active
70,CUS-000070,959,Henderson Ltd,Mid-Market,Retail,United States,Active
71,CUS-000071,910,Harris-Carson,Enterprise,Manufacturing,United States,Active
72,CUS-000072,586,Flowers LLC,Enterprise,Retail,Mexico,Active
