machine_key,machine_id,location_key,machine_name,machine_type,installation_date,status
1,MCH-000001,79,Atlas Machine 1,CNC Machine,2016-07-21,Operational
2,MCH-000002,57,Atlas Machine 2,Press Machine,2016-08-04,Operational
3,MCH-000003,71,Atlas Machine 3,Packaging Machine,2018-09-13,Operational
4,MCH-000004,23,Atlas Machine 4,Assembly Machine,2018-02-15,Operational
5,MCH-000005,84,Atlas Machine 5,Packaging Machine,2018-02-15,Operational
6,MCH-000006,76,Atlas Machine 6,Cutting Machine,2016-12-22,Operational
7,MCH-000007,92,Atlas Machine 7,CNC Machine,2016-11-20,Operational
8,MCH-000008,11,Atlas Machine 8,Cutting Machine,2017-11-06,Operational
9,MCH-000009,100,Atlas Machine 9,Press Machine,2018-08-01,Operational
10,MCH-000010,1,Atlas Machine 10,Press Machine,2017-08-16,Operational
11,MCH-000011,88,Atlas Machine 11,Packaging Machine,2016-06-12,Operational
12,MCH-000012,7,Atlas Machine 12,CNC Machine,2018-08-10,Maintenance
13,MCH-000013,9,Atlas Machine 13,Press Machine,2017-08-23,Operational
14,MCH-000014,76,Atlas Machine 14,Assembly Machine,2018-12-09,Unknown
15,MCH-000015,94,Atlas Machine 15,Packaging Machine,2016-09-17,Operational
16,MCH-000016,51,Atlas Machine 16,Packaging Machine,2016-08-25,Operational
17,MCH-000017,79,Atlas Machine 17,Press Machine,2018-10-25,Operational
18,MCH-000018,58,Atlas Machine 18,Press Machine,2017-07-15,Inactive
19,MCH-000019,58,Atlas Machine 19,Packaging Machine,2018-04-15,Maintenance
20,MCH-000020,77,Atlas Machine 20,Assembly Machine,2018-06-12,Operational
21,MCH-000021,72,Atlas Machine 21,Assembly Machine,2017-09-23,Operational
22,MCH-000022,73,Atlas Machine 22,Press Machine,2018-04-16,Operational
23,MCH-000023,8,Atlas Machine 23,Assembly Machine,2018-11-13,Operational
24,MCH-000024,92,Atlas Machine 24,Press Machine,2018-10-15,Operational
25,MCH-000025,22,Atlas Machine 25,Cutting Machine,2016-01-18,Operational
26,MCH-000026,65,Atlas Machine 26,CNC Machine,2018-04-06,Operational
27,MCH-000027,84,Atlas Machine 27,Assembly Machine,2018-02-02,Operational
28,MCH-000028,65,Atlas Machine 28,Packaging Machine,2017-08-07,Operational
29,MCH-000029,31,Atlas Machine 29,Cutting Machine,2017-03-03,Maintenance
30,MCH-000030,44,Atlas Machine 30,CNC Machine,2016-09-23,Operational
31,MCH-000031,69,Atlas Machine 31,Assembly Machine,2018-05-06,Operational
32,MCH-000032,71,Atlas Machine 32,CNC Machine,2017-02-18,Operational
33,MCH-000033,31,Atlas Machine 33,Packaging Machine,2018-07-25,Operational
34,MCH-000034,91,Atlas Machine 34,CNC Machine,2016-11-29,Maintenance
35,MCH-000035,85,Atlas Machine 35,Cutting Machine,2016-03-29,Operational
36,MCH-000036,80,Atlas Machine 36,Press Machine,2018-10-24,Operational
37,MCH-000037,15,Atlas Machine 37,Packaging Machine,2016-01-19,Inactive
38,MCH-000038,15,Atlas Machine 38,CNC Machine,2017-07-09,Operational
39,MCH-000039,93,Atlas Machine 39,Packaging Machine,2016-06-06,Operational
40,MCH-000040,11,Atlas Machine 40,Cutting Machine,2018-05-25,Operational
41,MCH-000041,100,Atlas Machine 41,Cutting Machine,2018-01-28,Operational
42,MCH-000042,22,Atlas Machine 42,Press Machine,2016-04-11,Operational
