supplier_key,supplier_id,supplier_name,supplier_category,country,status
1,SUP-000001,"Perry, Cooper and Wall",Distributor,Mexico,Active
2,SUP-000002,Dickerson-Miller,Raw Material Supplier,Germany,Active
3,SUP-000003,"Poole, Wagner and Richardson",Distributor,Canada,Active
4,SUP-000004,Rose Group,Distributor,Mexico,Active
5,SUP-000005,Williams Inc,Manufacturer,Sweden,Active
6,SUP-000006,Sanders-Hubbard,Distributor,Canada,Active
7,SUP-000007,Schmidt Inc,Raw Material Supplier,United States,Active
8,SUP-000008,"Valencia, Mullins and Guzman",Manufacturer,Mexico,Active
9,SUP-000009,Haley-Evans,Service Provider,Germany,Active
10,SUP-000010,"Ramirez, Allen and White",Service Provider,Canada,Inactive
11,SUP-000011,Coleman-Robinson,Service Provider,United States,Active
12,SUP-000012,Mckenzie Inc,Distributor,United States,Active
13,SUP-000013,Lewis PLC,Raw Material Supplier,Sweden,Active
14,SUP-000014,"Harding, Schmidt and Garrett",Manufacturer,Germany,Active
15,SUP-000015,Dillon Group,Distributor,Sweden,Active
16,SUP-000016,"Webster, Fletcher and Villarreal",Service Provider,United States,Inactive
17,SUP-000017,Parks LLC,Distributor,Germany,Active
18,SUP-000018,Camacho Ltd,Service Provider,Mexico,Active
19,SUP-000019,Robinson PLC,Distributor,Sweden,Active
20,SUP-000020,"Miller, Johnson and Bennett",Service Provider,United States,Active
21,SUP-000021,"Cochran, Watson and Leach",Manufacturer,Canada,Active
22,SUP-000022,Bonilla-Daniels,Raw Material Supplier,Sweden,Active
23,SUP-000023,Deleon Ltd,Service Provider,Germany,Active
24,SUP-000024,"Newman, Li and Davis",Manufacturer,Mexico,Inactive
25,SUP-000025,Rivera Inc,Distributor,United States,Active
26,SUP-000026,Herrera-Perez,Manufacturer,Canada,Active
27,SUP-000027,Mccullough-Owen,Service Provider,Sweden,Active
28,SUP-000028,Poole Inc,Raw Material Supplier,Mexico,Active
29,SUP-000029,"Hayes, Whitney and Maynard",Manufacturer,Sweden,Active
30,SUP-000030,"Hawkins, Wolf and Walker",Service Provider,Germany,Active
31,SUP-000031,Mayo Ltd,Raw Material Supplier,Mexico,Active
32,SUP-000032,"Keith, Rivera and Vaughn",Service Provider,Mexico,Active
33,SUP-000033,Fox-Horn,Manufacturer,United States,Active
34,SUP-000034,Davis-May,Raw Material Supplier,United States,Active
35,SUP-000035,"Hughes, Chavez and Hughes",Raw Material Supplier,Mexico,Active
36,SUP-000036,Malone PLC,Service Provider,Canada,Active
37,SUP-000037,Graham-Shah,Raw Material Supplier,Mexico,Active
38,SUP-000038,"Jones, Roberts and Lowe",Raw Material Supplier,United States,Active
39,SUP-000039,Wood-Strong,Service Provider,Sweden,Active
40,SUP-000040,Spence-Fields,Distributor,Germany,Active
41,SUP-000041,Terry-Avery,Service Provider,Sweden,Active
42,SUP-000042,"Nichols, Clark and Walker",Manufacturer,Germany,Active
43,SUP-000043,Lawson-Stewart,Manufacturer,United States,Active
44,SUP-000044,"Phillips, Allen and Cunningham",Manufacturer,Canada,Active
