budget_key,budget_id,date_key,account_key,location_key,budget_category,budget_amount
1,BUD-000001,20251213,702,47,Revenue,39494.69
2,BUD-000002,20230826,125,64,Utilities,49226.86
3,BUD-000003,20201103,458,70,Payroll,61840.29
4,BUD-000004,20250213,768,30,Maintenance,39672.24
5,BUD-000005,20230615,614,81,Revenue,37565.74
6,BUD-000006,20210509,915,90,Payroll,93215.75
7,BUD-000007,20240110,441,42,Utilities,32868.36
8,BUD-000008,20220619,251,12,Operations,34330.23
9,BUD-000009,20190409,202,96,Maintenance,128081.26
10,BUD-000010,20240328,94,98,Operations,156269.01
11,BUD-000011,20220913,812,67,Payroll,89018.67
12,BUD-000012,20241022,791,58,Maintenance,169039.58
13,BUD-000013,20250317,657,1,Operations,189262.19
14,BUD-000014,20190331,920,19,Maintenance,21707.83
15,BUD-000015,20191022,195,40,Payroll,62585.05
16,BUD-000016,20250415,909,45,Operations,40609.3
17,BUD-000017,20250210,119,43,Payroll,30390.36
18,BUD-000018,20191109,941,95,Maintenance,92047.81
19,BUD-000019,20190405,813,78,Payroll,56416.33
20,BUD-000020,20230314,575,11,Payroll,51242.43
21,BUD-000021,20230508,742,35,Maintenance,159120.41
22,BUD-000022,20190914,854,68,Utilities,37659.9
23,BUD-000023,20230115,134,73,Payroll,67653.69
24,BUD-000024,20221021,460,3,Revenue,66611.85
25,BUD-000025,20210403,958,76,Operations,70880.16
26,BUD-000026,20241226,180,59,Operations,83077.58
27,BUD-000027,20210304,260,64,Revenue,58313.71
28,BUD-000028,20251123,293,84,Revenue,175616.04
29,BUD-000029,20190903,614,91,Revenue,84836.66
30,BUD-000030,20210613,973,82,Utilities,35849.15
31,BUD-000031,20241120,22,19,Operations,38709.25
32,BUD-000032,20221004,368,29,Payroll,100240.64
33,BUD-000033,20230304,821,87,Operations,184647.16
34,BUD-000034,20221223,619,53,Payroll,49979.81
35,BUD-000035,20240909,295,67,Operations,46210.99
36,BUD-000036,20210619,502,48,Utilities,59975.64
37,BUD-000037,20201225,138,76,Revenue,85649.53
38,BUD-000038,20201206,731,43,Revenue,27451.83
39,BUD-000039,20230913,636,51,Maintenance,117865.5
40,BUD-000040,20191218,718,90,Operations,68729.1
41,BUD-000041,20241105,171,67,Utilities,68422.49
42,BUD-000042,20250510,807,71,Payroll,90044.89
43,BUD-000043,20191216,390,18,Revenue,46569.58
44,BUD-000044,20250929,33,69,Maintenance,32067.0
45,BUD-000045,20210730,522,70,Revenue,68193.48
46,BUD-000046,20251105,786,28,Utilities,84189.74
47,BUD-000047,20191113,371,93,Operations,288187.59
48,BUD-000048,20210422,265,89,Payroll,41402.56
49,BUD-000049,20190313,921,18,Revenue,16669.3
50,BUD-000050,20210622,375,47,Maintenance,107416.17
51,BUD-000051,20201121,67,24,Revenue,74923.04
52,BUD-000052,20200129,230,14,Maintenance,15191.31
53,BUD-000053,20231003,235,84,Payroll,175144.31
54,BUD-000054,20230306,88,78,Maintenance,114361.87
55,BUD-000055,20191117,500,8,Revenue,58825.43
56,BUD-000056,20251004,222,40,Revenue,73771.46
57,BUD-000057,20251109,210,25,Utilities,84400.21
58,BUD-000058,20190920,993,80,Revenue,190609.13
59,BUD-000059,20210123,43,44,Operations,52843.92
60,BUD-000060,20250822,608,96,Operations,25958.72
61,BUD-000061,20250308,153,61,Payroll,89591.75
62,BUD-000062,20190812,861,1,Utilities,84155.59
63,BUD-000063,20190407,98,60,Operations,123007.78
64,BUD-000064,20200512,237,99,Operations,47165.46
65,BUD-000065,20210721,517,24,Revenue,39559.71
66,BUD-000066,20201214,358,41,Maintenance,91279.58
67,BUD-000067,20200224,468,6,Utilities,103415.95
68,BUD-000068,20241202,580,79,Utilities,119983.89
69,BUD-000069,20220205,328,51,Utilities,92646.58
70,BUD-000070,20201109,735,40,Operations,40808.0
71,BUD-000071,20220919,275,64,Utilities,52513.23
72,BUD-000072,20210308,997,60,Maintenance,34504.87
