emissions_key,emissions_id,date_key,location_key,emissions_category,unit_of_measure,co2_emissions
1,EMS-000001,20250812,12,Direct Emissions,kg,635.021
2,EMS-000002,20210508,94,Direct Emissions,kg,1746.302
3,EMS-000003,20191130,85,Direct Emissions,kg,658.606
4,EMS-000004,20231206,62,Direct Emissions,kg,1082.812
5,EMS-000005,20250112,33,Purchased Energy,kg,1156.044
6,EMS-000006,20200505,39,Purchased Energy,kg,296.723
7,EMS-000007,20210212,37,Purchased Energy,kg,1697.997
8,EMS-000008,20191207,50,Direct Emissions,kg,225.654
9,EMS-000009,20250920,68,Purchased Energy,kg,536.783
10,EMS-000010,20190114,57,Purchased Energy,kg,456.523
11,EMS-000011,20250415,55,Direct Emissions,kg,483.075
12,EMS-000012,20250511,100,Direct Emissions,kg,721.077
13,EMS-000013,20201013,98,Transportation,kg,980.305
14,EMS-000014,20250310,20,Purchased Energy,kg,495.087
15,EMS-000015,20250918,97,Purchased Energy,kg,926.971
16,EMS-000016,20210617,83,Purchased Energy,kg,668.625
17,EMS-000017,20200214,21,Transportation,kg,826.683
18,EMS-000018,20220915,58,Direct Emissions,kg,547.47
19,EMS-000019,20200115,84,Transportation,kg,1500.763
20,EMS-000020,20201112,42,Direct Emissions,kg,2390.305
21,EMS-000021,20210124,65,Transportation,kg,1292.403
22,EMS-000022,20251124,29,Direct Emissions,kg,816.294
23,EMS-000023,20250730,84,Direct Emissions,kg,521.129
24,EMS-000024,20211217,83,Purchased Energy,kg,258.967
25,EMS-000025,20201113,65,Purchased Energy,kg,525.787
26,EMS-000026,20231115,4,Purchased Energy,kg,1246.558
27,EMS-000027,20220309,17,Direct Emissions,kg,484.353
28,EMS-000028,20230615,89,Direct Emissions,kg,2536.051
29,EMS-000029,20210101,2,Purchased Energy,kg,831.975
30,EMS-000030,20240926,38,Purchased Energy,kg,380.449
31,EMS-000031,20200717,82,Purchased Energy,kg,500.131
32,EMS-000032,20230322,13,Direct Emissions,kg,1285.823
33,EMS-000033,20210306,15,Direct Emissions,kg,535.945
34,EMS-000034,20240704,77,Direct Emissions,kg,997.15
35,EMS-000035,20250228,46,Purchased Energy,kg,488.712
36,EMS-000036,20210817,32,Transportation,kg,1826.932
37,EMS-000037,20210508,68,Purchased Energy,kg,226.945
38,EMS-000038,20201020,50,Purchased Energy,kg,368.898
39,EMS-000039,20250930,39,Direct Emissions,kg,1274.318
40,EMS-000040,20251007,41,Transportation,kg,1094.33
41,EMS-000041,20230319,87,Transportation,kg,933.535
42,EMS-000042,20250829,9,Transportation,kg,1620.064
43,EMS-000043,20230928,93,Direct Emissions,kg,1498.915
44,EMS-000044,20220120,23,Purchased Energy,kg,550.051
45,EMS-000045,20220902,73,Direct Emissions,kg,377.421
46,EMS-000046,20251027,94,Purchased Energy,kg,737.012
47,EMS-000047,20230413,47,Direct Emissions,kg,1130.681
48,EMS-000048,20210329,71,Purchased Energy,kg,1055.221
49,EMS-000049,20190827,57,Purchased Energy,kg,527.003
50,EMS-000050,20240228,4,Purchased Energy,kg,488.703
51,EMS-000051,20220120,53,Purchased Energy,kg,432.469
52,EMS-000052,20240425,78,Direct Emissions,kg,1247.438
53,EMS-000053,20190929,43,Direct Emissions,kg,458.124
54,EMS-000054,20230905,84,Transportation,kg,1041.322
55,EMS-000055,20250516,61,Direct Emissions,kg,851.324
56,EMS-000056,20210830,77,Purchased Energy,kg,348.779
57,EMS-000057,20230304,46,Purchased Energy,kg,847.733
58,EMS-000058,20200714,58,Transportation,kg,2346.679
59,EMS-000059,20250326,71,Direct Emissions,kg,334.899
60,EMS-000060,20200530,54,Purchased Energy,kg,613.6
61,EMS-000061,20201204,57,Purchased Energy,kg,77.905
62,EMS-000062,20210305,31,Transportation,kg,393.864
63,EMS-000063,20200721,51,Purchased Energy,kg,131.251
64,EMS-000064,20200104,43,Transportation,kg,740.224
65,EMS-000065,20210806,30,Purchased Energy,kg,425.522
66,EMS-000066,20201022,27,Transportation,kg,7756.455
67,EMS-000067,20240618,79,Purchased Energy,kg,507.239
68,EMS-000068,20250412,73,Purchased Energy,kg,1187.171
69,EMS-000069,20200505,57,Direct Emissions,kg,493.778
70,EMS-000070,20230312,22,Purchased Energy,kg,1382.353
71,EMS-000071,20230105,33,Direct Emissions,kg,969.563
72,EMS-000072,20230215,20,Purchased Energy,kg,311.975
73,EMS-000073,20201105,81,Direct Emissions,kg,828.203
74,EMS-000074,20191029,6,Direct Emissions,kg,611.887
75,EMS-000075,20240401,71,Purchased Energy,kg,896.19
76,EMS-000076,20190112,21,Direct Emissions,kg,693.995
77,EMS-000077,20230913,51,Purchased Energy,kg,465.406
78,EMS-000078,20221007,7,Direct Emissions,kg,835.265
79,EMS-000079,20190102,96,Direct Emissions,kg,532.441
80,EMS-000080,20231116,29,Direct Emissions,kg,994.664
81,EMS-000081,20210313,77,Transportation,kg,875.559
82,EMS-000082,20190507,50,Direct Emissions,kg,1989.393
83,EMS-000083,20211223,48,Direct Emissions,kg,235.217
84,EMS-000084,20200128,61,Direct Emissions,kg,888.625
85,EMS-000085,20190922,59,Purchased Energy,kg,1207.375
86,EMS-000086,20231129,75,Direct Emissions,kg,1017.736
87,EMS-000087,20191204,88,Transportation,kg,1070.895
88,EMS-000088,20200427,81,Purchased Energy,kg,722.738
89,EMS-000089,20210522,21,Direct Emissions,kg,577.853
90,EMS-000090,20210115,43,Direct Emissions,kg,441.995
91,EMS-000091,20200802,59,Transportation,kg,369.9
92,EMS-000092,20250311,45,Purchased Energy,kg,174.304
93,EMS-000093,20230817,60,Purchased Energy,kg,417.637
94,EMS-000094,20221009,59,Purchased Energy,kg,176.425
95,EMS-000095,20251209,28,Direct Emissions,kg,345.275
96,EMS-000096,20241102,88,Direct Emissions,kg,511.992
97,EMS-000097,20240418,32,Purchased Energy,kg,1050.914
98,EMS-000098,20210422,55,Direct Emissions,kg,219.164
99,EMS-000099,20210923,83,Purchased Energy,kg,789.022
100,EMS-000100,20200831,71,Transportation,kg,700.092
101,EMS-000101,20231126,87,Direct Emissions,kg,614.284
102,EMS-000102,20190401,49,Direct Emissions,kg,567.277
103,EMS-000103,20200512,80,Direct Emissions,kg,422.65
104,EMS-000104,20220711,1,Purchased Energy,kg,1269.275
105,EMS-000105,20221028,28,Purchased Energy,kg,285.225
106,EMS-000106,20251108,43,Direct Emissions,kg,1112.545
107,EMS-000107,20200904,6,Transportation,kg,3017.505
108,EMS-000108,20200530,38,Purchased Energy,kg,675.049
109,EMS-000109,20200808,38,Transportation,kg,228.499
110,EMS-000110,20191216,26,Transportation,kg,3319.403
111,EMS-000111,20220912,27,Purchased Energy,kg,462.367
112,EMS-000112,20210525,53,Purchased Energy,kg,427.408
113,EMS-000113,20240918,71,Direct Emissions,kg,457.257
114,EMS-000114,20250623,76,Direct Emissions,kg,943.158
115,EMS-000115,20250206,56,Direct Emissions,kg,1200.768
116,EMS-000116,20191013,34,Direct Emissions,kg,1239.24
117,EMS-000117,20241108,37,Purchased Energy,kg,683.396
118,EMS-000118,20210529,9,Direct Emissions,kg,1415.852
119,EMS-000119,20200318,97,Direct Emissions,kg,311.564
120,EMS-000120,20200215,57,Transportation,kg,203.784
121,EMS-000121,20191011,100,Purchased Energy,kg,342.957
122,EMS-000122,20230610,34,Direct Emissions,kg,546.972
123,EMS-000123,20210720,68,Direct Emissions,kg,1066.715
124,EMS-000124,20200325,58,Purchased Energy,kg,508.269
125,EMS-000125,20191226,82,Direct Emissions,kg,1085.235
126,EMS-000126,20230420,22,Purchased Energy,kg,708.243
127,EMS-000127,20210320,91,Transportation,kg,592.271
128,EMS-000128,20201202,6,Transportation,kg,479.384
129,EMS-000129,20250430,48,Purchased Energy,kg,367.106
130,EMS-000130,20251204,47,Direct Emissions,kg,636.144
