energy_key,energy_id,date_key,location_key,machine_key,energy_source,energy_consumption
1,ENG-000001,20191221,54,1951,Natural Gas,3482.128
2,ENG-000002,20240622,38,390,Natural Gas,1524.207
3,ENG-000003,20220902,99,353,Electricity,3737.745
4,ENG-000004,20240907,7,733,Electricity,2633.718
5,ENG-000005,20200926,62,286,Diesel,3468.594
6,ENG-000006,20210711,11,1053,Electricity,6169.054
7,ENG-000007,20230705,19,366,Electricity,1927.069
8,ENG-000008,20190106,77,834,Natural Gas,3812.521
9,ENG-000009,20220216,73,542,Diesel,1665.726
10,ENG-000010,20220926,77,1099,Natural Gas,1734.266
11,ENG-000011,20200307,74,1494,Diesel,3138.716
12,ENG-000012,20190321,7,1881,Electricity,3585.466
13,ENG-000013,20251111,15,549,Electricity,4187.397
14,ENG-000014,20191019,44,1269,Diesel,1461.431
15,ENG-000015,20190605,20,217,Electricity,6053.294
16,ENG-000016,20210409,83,180,Diesel,8497.486
17,ENG-000017,20190103,84,118,Diesel,8543.538
18,ENG-000018,20230429,63,1759,Diesel,3100.317
19,ENG-000019,20190903,85,1578,Electricity,2515.503
20,ENG-000020,20240418,33,1452,Diesel,4297.066
21,ENG-000021,20240314,71,1921,Electricity,4257.208
22,ENG-000022,20220818,73,1208,Natural Gas,678.035
23,ENG-000023,20210103,77,1213,Electricity,8107.277
24,ENG-000024,20200617,60,1082,Diesel,10263.693
25,ENG-000025,20230808,89,1054,Diesel,2414.869
26,ENG-000026,20230521,22,1355,Electricity,6066.022
27,ENG-000027,20240505,56,1107,Natural Gas,3723.706
28,ENG-000028,20221116,2,1776,Diesel,3641.371
29,ENG-000029,20250220,40,79,Diesel,3913.262
30,ENG-000030,20210717,54,135,Diesel,1912.196
31,ENG-000031,20230527,1,324,Diesel,7928.423
32,ENG-000032,20210708,3,76,Natural Gas,777.738
33,ENG-000033,20240430,80,1775,Natural Gas,3373.739
34,ENG-000034,20191215,98,1492,Diesel,3243.311
35,ENG-000035,20210716,60,1082,Diesel,2956.875
36,ENG-000036,20210128,55,1316,Electricity,4274.933
37,ENG-000037,20230702,97,1648,Electricity,5668.622
38,ENG-000038,20200509,79,1370,Electricity,3126.034
39,ENG-000039,20250313,53,1430,Electricity,2102.716
40,ENG-000040,20230429,57,231,Electricity,4036.781
41,ENG-000041,20211004,20,217,Diesel,3853.975
42,ENG-000042,20201003,71,1398,Natural Gas,2920.149
43,ENG-000043,20240820,60,134,Diesel,8075.466
44,ENG-000044,20190729,80,700,Natural Gas,979.991
45,ENG-000045,20240228,65,1118,Diesel,4255.357
46,ENG-000046,20210719,31,1527,Natural Gas,9624.488
47,ENG-000047,20240107,88,251,Natural Gas,5304.191
48,ENG-000048,20250316,63,1600,Diesel,5287.37
49,ENG-000049,20190218,81,1227,Natural Gas,4780.159
50,ENG-000050,20210715,33,1452,Diesel,5952.939
51,ENG-000051,20200916,4,190,Electricity,2771.204
52,ENG-000052,20200312,86,439,Electricity,2166.122
53,ENG-000053,20251213,26,1889,Natural Gas,3246.338
54,ENG-000054,20250502,29,1256,Electricity,7493.785
55,ENG-000055,20190328,100,261,Diesel,2756.888
56,ENG-000056,20230312,67,152,Electricity,3172.022
57,ENG-000057,20191006,41,985,Electricity,7167.813
58,ENG-000058,20240904,85,73,Natural Gas,2735.682
59,ENG-000059,20240415,48,962,Diesel,10329.772
60,ENG-000060,20231202,3,699,Electricity,1904.991
61,ENG-000061,20200620,7,1771,Diesel,1991.833
62,ENG-000062,20220121,54,742,Natural Gas,5894.584
63,ENG-000063,20231104,85,491,Natural Gas,6315.551
64,ENG-000064,20190211,83,279,Natural Gas,3372.794
65,ENG-000065,20210519,32,176,Electricity,1430.505
66,ENG-000066,20190831,11,183,Diesel,4143.18
67,ENG-000067,20240427,4,106,Diesel,3137.387
68,ENG-000068,20250125,6,1040,Diesel,8382.73
69,ENG-000069,20240102,58,1466,Natural Gas,2489.129
70,ENG-000070,20241019,89,1021,Natural Gas,3988.213
71,ENG-000071,20201231,2,597,Electricity,3445.842
72,ENG-000072,20220609,76,1377,Electricity,4416.361
73,ENG-000073,20221105,35,1030,Natural Gas,1619.135
74,ENG-000074,20220306,73,1561,Natural Gas,2324.548
75,ENG-000075,20200522,22,1864,Electricity,2842.884
76,ENG-000076,20211022,62,1387,Natural Gas,4597.358
77,ENG-000077,20230414,26,486,Electricity,1364.192
78,ENG-000078,20200110,22,1737,Natural Gas,2879.108
79,ENG-000079,20191207,90,621,Diesel,1792.485
80,ENG-000080,20220626,83,1191,Electricity,970.716
81,ENG-000081,20220128,57,209,Diesel,2805.966
82,ENG-000082,20230417,71,1994,Diesel,3879.105
83,ENG-000083,20190410,54,1257,Diesel,1872.317
84,ENG-000084,20190702,57,1126,Diesel,3414.064
85,ENG-000085,20231007,83,684,Electricity,2584.014
86,ENG-000086,20200416,6,649,Diesel,1679.914
87,ENG-000087,20220206,74,143,Natural Gas,8747.582
88,ENG-000088,20200304,63,1468,Natural Gas,3300.145
89,ENG-000089,20200721,81,1597,Diesel,679.263
90,ENG-000090,20210320,22,1737,Electricity,5535.718
91,ENG-000091,20200924,57,67,Diesel,3334.252
92,ENG-000092,20210428,23,365,Natural Gas,2007.35
93,ENG-000093,20230916,79,1092,Diesel,3560.818
94,ENG-000094,20230222,57,281,Natural Gas,9072.871
95,ENG-000095,20210309,98,1548,Electricity,1958.233
96,ENG-000096,20210225,18,741,Electricity,1024.587
97,ENG-000097,20210417,69,240,Diesel,2115.705
98,ENG-000098,20220127,53,1123,Diesel,3884.174
99,ENG-000099,20190427,41,632,Diesel,4984.715
100,ENG-000100,20240114,81,1076,Diesel,2903.942
101,ENG-000101,20240503,65,1694,Electricity,2261.142
102,ENG-000102,20200213,60,1187,Electricity,3767.392
103,ENG-000103,20200218,49,185,Diesel,4750.544
104,ENG-000104,20230211,41,1481,Natural Gas,5474.461
105,ENG-000105,20230201,51,974,Natural Gas,1430.15
106,ENG-000106,20220526,100,1883,Diesel,1826.394
107,ENG-000107,20201124,80,1528,Diesel,1122.403
108,ENG-000108,20190120,48,849,Diesel,9135.585
109,ENG-000109,20190506,11,8,Electricity,1521.489
110,ENG-000110,20250621,23,793,Natural Gas,1631.623
111,ENG-000111,20220210,63,218,Electricity,3076.827
112,ENG-000112,20200621,19,1081,Natural Gas,-100.0
113,ENG-000113,20240108,90,246,Diesel,3373.3
114,ENG-000114,20220831,55,1388,Electricity,2679.359
115,ENG-000115,20210301,84,1367,Electricity,2524.843
116,ENG-000116,20250514,80,700,Diesel,3097.915
117,ENG-000117,20211129,35,1709,Natural Gas,1983.513
118,ENG-000118,20240729,22,452,Electricity,3901.163
119,ENG-000119,20200525,84,27,Diesel,6655.445
120,ENG-000120,20220416,23,793,Diesel,2683.326
121,ENG-000121,20210409,41,1152,Electricity,4578.722
122,ENG-000122,20200101,6,1360,Diesel,3782.817
123,ENG-000123,20190414,74,1793,Natural Gas,3885.94
124,ENG-000124,20200101,18,989,Diesel,4053.807
125,ENG-000125,20200524,94,991,Natural Gas,6595.425
126,ENG-000126,20210305,62,138,Natural Gas,6174.186
127,ENG-000127,20240604,31,664,Diesel,6439.742
128,ENG-000128,20210415,1,1930,Natural Gas,4146.946
129,ENG-000129,20200926,9,356,Electricity,4268.247
130,ENG-000130,20241203,97,1149,Natural Gas,9490.712
131,ENG-000131,20190212,60,529,Electricity,7283.692
132,ENG-000132,20200512,5,652,Electricity,1459.345
133,ENG-000133,20241225,49,934,Diesel,11183.585
134,ENG-000134,20190218,73,392,Natural Gas,2063.612
135,ENG-000135,20240821,75,884,Natural Gas,3095.297
136,ENG-000136,20221001,32,639,Natural Gas,1637.111
137,ENG-000137,20240429,33,1699,Electricity,4082.644
138,ENG-000138,20191024,81,642,Diesel,4409.943
139,ENG-000139,20230210,83,1833,Natural Gas,2654.378
140,ENG-000140,20211030,73,530,Diesel,1483.789
141,ENG-000141,20220519,86,643,Natural Gas,4861.191
142,ENG-000142,20190325,57,2,Electricity,1180.567
143,ENG-000143,20230422,65,564,Natural Gas,1501.473
144,ENG-000144,20231208,1,265,Electricity,1855.154
145,ENG-000145,20210730,22,25,Electricity,4567.935
146,ENG-000146,20210411,43,808,Electricity,2590.722
147,ENG-000147,20201114,74,1071,Diesel,3961.903
148,ENG-000148,20250620,44,1146,Natural Gas,5052.955
149,ENG-000149,20201112,43,117,Electricity,6626.472
150,ENG-000150,20190707,58,611,Diesel,2364.096
151,ENG-000151,20200610,44,999,Natural Gas,5421.593
152,ENG-000152,20221228,74,355,Electricity,3250.398
153,ENG-000153,20251013,86,750,Electricity,6037.929
154,ENG-000154,20200111,73,1700,Natural Gas,3236.351
155,ENG-000155,20240405,86,1234,Natural Gas,269.863
156,ENG-000156,20211015,80,700,Electricity,1464.442
157,ENG-000157,20250712,65,1727,Diesel,1517.83
158,ENG-000158,20210524,93,1609,Natural Gas,1835.725
159,ENG-000159,20210706,68,979,Natural Gas,3648.343
160,ENG-000160,20191119,2,1776,Natural Gas,5496.212
161,ENG-000161,20250428,68,1307,Electricity,1852.605
162,ENG-000162,20250117,69,381,Electricity,4011.824
163,ENG-000163,20230124,35,283,Natural Gas,3694.759
164,ENG-000164,20241028,43,1326,Natural Gas,6877.176
165,ENG-000165,20190515,75,1259,Natural Gas,2871.908
166,ENG-000166,20240115,6,649,Electricity,4313.43
167,ENG-000167,20250312,19,563,Electricity,3246.162
168,ENG-000168,20250914,1,375,Natural Gas,2564.913
169,ENG-000169,20241007,62,969,Natural Gas,1054.604
170,ENG-000170,20190507,49,1851,Diesel,3856.515
171,ENG-000171,20230403,34,1510,Diesel,3075.136
172,ENG-000172,20230329,11,1902,Electricity,3894.051
173,ENG-000173,20250608,74,1287,Diesel,2921.427
174,ENG-000174,20201217,34,1958,Natural Gas,2765.082
175,ENG-000175,20211206,19,1091,Diesel,5141.016
176,ENG-000176,20210118,76,1037,Natural Gas,1928.305
177,ENG-000177,20200624,86,1234,Electricity,3964.647
178,ENG-000178,20250903,53,317,Electricity,2246.63
179,ENG-000179,20230722,62,275,Diesel,4391.492
180,ENG-000180,20230721,68,411,Diesel,1465.161
181,ENG-000181,20240518,62,598,Diesel,1874.604
182,ENG-000182,20211017,85,1330,Natural Gas,1036.197
183,ENG-000183,20220725,18,1703,Natural Gas,2775.829
184,ENG-000184,20200919,83,95,Electricity,4961.887
185,ENG-000185,20230630,15,1230,Electricity,5516.442
186,ENG-000186,20220113,1,1523,Diesel,3599.029
187,ENG-000187,20221227,55,1388,Natural Gas,7187.059
188,ENG-000188,20190826,98,1368,Electricity,5443.619
189,ENG-000189,20201202,57,1987,Natural Gas,4361.737
190,ENG-000190,20220613,26,242,Electricity,7851.783
191,ENG-000191,20210605,6,149,Electricity,2981.631
192,ENG-000192,20190623,8,1415,Electricity,2150.315
193,ENG-000193,20211110,4,895,Diesel,4042.269
