financial_transaction_key,transaction_id,date_key,account_key,location_key,transaction_type,transaction_category,transaction_amount
1,FIN-000001,20240906,244,96,Revenue,Maintenance,36619.05
2,FIN-000002,20251005,285,22,Revenue,Sales Revenue,31321.26
3,FIN-000003,20230128,843,11,Revenue,Sales Revenue,11352.29
4,FIN-000004,20231220,998,23,Expense,Maintenance,26835.54
5,FIN-000005,20240929,370,8,Cost,Utilities,16896.54
6,FIN-000006,20251020,177,15,Revenue,Utilities,20145.37
7,FIN-000007,20241105,172,4,Expense,Payroll,49318.7
8,FIN-000008,20201022,215,75,Cost,Maintenance,6460.7
9,FIN-000009,20220326,8,55,Revenue,Materials,13426.28
10,FIN-000010,20211029,950,42,Expense,Operating Expense,44615.51
11,FIN-000011,20250910,44,1,Expense,Materials,5000.5
12,FIN-000012,20250814,911,43,Expense,Operating Expense,3985.36
13,FIN-000013,20231207,370,16,Revenue,Payroll,35233.03
14,FIN-000014,20240723,826,49,Expense,Materials,16902.37
15,FIN-000015,20230923,846,92,Revenue,Materials,815.4
16,FIN-000016,20230505,625,24,Expense,Utilities,15164.99
17,FIN-000017,20220818,580,41,Revenue,Sales Revenue,4648.03
18,FIN-000018,20231129,243,77,Cost,Utilities,17280.63
19,FIN-000019,20230314,717,16,Cost,Utilities,45462.67
20,FIN-000020,20200413,999,30,Expense,Operating Expense,18340.54
21,FIN-000021,20250612,10,26,Expense,Operating Expense,23635.55
22,FIN-000022,20220318,447,32,Expense,Sales Revenue,11876.64
23,FIN-000023,20251119,311,24,Cost,Sales Revenue,262.9
24,FIN-000024,20190607,121,14,Revenue,Sales Revenue,8497.53
25,FIN-000025,20250607,58,88,Revenue,Materials,41884.57
26,FIN-000026,20190923,15,10,Expense,Maintenance,46396.11
27,FIN-000027,20251106,545,77,Revenue,Sales Revenue,31522.16
28,FIN-000028,20240316,143,32,Cost,Operating Expense,493.79
29,FIN-000029,20251213,285,34,Cost,Utilities,11004.45
30,FIN-000030,20200824,660,37,Cost,Materials,37689.71
31,FIN-000031,20221117,410,38,Cost,Materials,30930.65
32,FIN-000032,20230129,851,59,Revenue,Materials,14837.72
33,FIN-000033,20221127,77,94,Revenue,Payroll,1035.17
34,FIN-000034,20200325,431,88,Revenue,Maintenance,40364.39
35,FIN-000035,20211010,777,11,Revenue,Maintenance,14491.3
36,FIN-000036,20200409,521,65,Expense,Sales Revenue,20903.24
37,FIN-000037,20220910,431,1,Revenue,Materials,15037.86
