maintenance_key,maintenance_id,date_key,location_key,machine_key,employee_key,maintenance_type,maintenance_hours,downtime_hours,maintenance_cost
1,MNT-000001,20200118,63,817,4360,Preventive,6.59,13.06,3023.8
2,MNT-000002,20210319,56,1228,3954,Inspection,2.99,8.91,982.18
3,MNT-000003,20201202,1,833,2939,Inspection,6.85,13.53,3975.74
4,MNT-000004,20190615,56,1936,1470,Inspection,1.57,7.93,3383.61
5,MNT-000005,20250404,59,458,3909,Inspection,6.92,22.81,3604.39
6,MNT-000006,20191021,27,1580,4284,Preventive,1.44,21.92,6465.3
7,MNT-000007,20191030,93,1815,4693,Corrective,3.98,21.02,3007.18
8,MNT-000008,20240720,83,653,3494,Inspection,1.96,20.18,8639.21
9,MNT-000009,20240426,83,1404,362,Corrective,3.11,22.51,3636.01
10,MNT-000010,20210418,53,1606,4674,Corrective,3.6,23.9,7541.71
11,MNT-000011,20191107,34,1804,2696,Preventive,2.36,13.75,343.77
12,MNT-000012,20200713,60,47,3061,Corrective,7.74,1.09,1911.59
13,MNT-000013,20211223,22,623,3856,Corrective,6.92,3.94,107.2
14,MNT-000014,20250729,60,1411,3307,Inspection,4.43,5.91,7664.37
15,MNT-000015,20240102,20,1206,1348,Preventive,2.57,3.66,9592.49
16,MNT-000016,20230316,94,1842,740,Preventive,1.43,18.01,7140.11
17,MNT-000017,20230518,92,837,4961,Corrective,4.79,0.86,5042.09
18,MNT-000018,20220419,23,508,1988,Corrective,2.8,8.15,3414.19
19,MNT-000019,20220206,29,1383,1033,Preventive,2.71,16.18,6980.93
20,MNT-000020,20190114,37,1716,2452,Preventive,1.78,15.01,9334.67
21,MNT-000021,20211218,65,1164,503,Corrective,4.98,14.89,6563.77
22,MNT-000022,20200917,43,622,3727,Corrective,3.31,8.36,4129.39
23,MNT-000023,20251110,51,247,2550,Preventive,3.74,8.69,4922.56
24,MNT-000024,20250112,1,1742,1822,Preventive,4.01,9.47,1725.58
25,MNT-000025,20190701,29,730,4208,Inspection,5.78,22.96,5001.16
26,MNT-000026,20190727,8,639,2671,Inspection,3.41,12.62,4515.89
27,MNT-000027,20240503,40,1077,4502,Inspection,5.41,3.96,1952.81
28,MNT-000028,20221015,7,1347,1118,Inspection,7.89,0.55,2337.54
29,MNT-000029,20220716,35,128,2844,Inspection,2.61,9.98,3487.57
30,MNT-000030,20200207,21,857,4855,Corrective,0.96,18.06,5344.07
31,MNT-000031,20230901,6,1806,1199,Corrective,4.51,13.9,2679.84
32,MNT-000032,20230417,62,534,407,Corrective,3.89,20.2,3064.62
33,MNT-000033,20230830,10,983,3992,Preventive,3.56,13.07,2220.29
34,MNT-000034,20210127,91,335,3212,Preventive,1.56,14.45,7485.96
35,MNT-000035,20241123,21,1523,3918,Corrective,3.4,12.44,2911.61
36,MNT-000036,20210107,47,1188,1188,Inspection,0.76,10.15,1807.55
37,MNT-000037,20251026,54,1117,4220,Preventive,5.02,5.49,6915.8
38,MNT-000038,20220104,27,606,3720,Corrective,5.64,12.57,4723.56
39,MNT-000039,20240613,52,1327,4371,Corrective,7.54,1.34,5859.19
40,MNT-000040,20230408,17,1538,2294,Inspection,5.36,22.59,8159.75
41,MNT-000041,20200319,76,783,3061,Preventive,2.66,23.55,3548.21
42,MNT-000042,20190722,15,480,1409,Inspection,6.17,0.6,2734.34
43,MNT-000043,20200807,91,1510,2299,Corrective,4.73,14.49,3201.32
44,MNT-000044,20220617,2,787,3672,Preventive,1.23,5.35,6015.52
45,MNT-000045,20190316,15,1888,4957,Corrective,2.43,1.22,968.74
46,MNT-000046,20251013,86,698,1236,Corrective,2.91,20.81,2018.28
47,MNT-000047,20241110,70,1146,1399,Inspection,6.0,7.83,9724.5
48,MNT-000048,20190506,39,706,4801,Corrective,1.59,7.55,3227.49
49,MNT-000049,20210221,68,1425,1694,Inspection,4.98,15.17,9362.79
50,MNT-000050,20200517,64,680,4098,Inspection,3.25,21.54,3361.86
51,MNT-000051,20241223,7,938,3784,Inspection,6.98,22.78,4746.41
52,MNT-000052,20230829,86,761,3066,Inspection,1.85,14.48,3712.29
53,MNT-000053,20220801,60,469,4664,Preventive,4.76,0.79,1056.06
54,MNT-000054,20250601,74,1813,4237,Corrective,6.91,16.82,2919.77
55,MNT-000055,20190218,26,454,842,Corrective,4.8,22.41,8354.76
56,MNT-000056,20251222,32,1765,3692,Preventive,7.59,21.17,9448.28
57,MNT-000057,20240120,77,294,2728,Preventive,4.33,2.14,7182.2
58,MNT-000058,20191125,5,1980,1425,Preventive,7.52,2.74,2685.48
59,MNT-000059,20221107,53,1910,1878,Inspection,6.61,3.35,3265.44
60,MNT-000060,20250316,29,730,2170,Preventive,4.12,22.09,2970.89
61,MNT-000061,20250118,62,1143,1585,Preventive,2.79,10.59,3322.6
62,MNT-000062,20250116,5,1097,570,Inspection,3.58,11.74,2158.18
63,MNT-000063,20230808,6,1325,4856,Corrective,7.94,9.57,2128.65
64,MNT-000064,20241109,28,859,4107,Corrective,4.47,23.26,5883.18
65,MNT-000065,20220106,85,1147,3380,Preventive,6.81,4.33,7007.93
66,MNT-000066,20201125,37,916,3740,Corrective,6.85,14.61,2730.88
67,MNT-000067,20200403,15,1331,2112,Inspection,2.67,4.51,6926.88
68,MNT-000068,20200314,75,490,3760,Preventive,3.47,22.06,4314.34
69,MNT-000069,20220519,59,337,2518,Corrective,1.89,19.03,1090.54
70,MNT-000070,20190111,68,1545,2103,Preventive,3.64,9.63,379.71
71,MNT-000071,20201029,2,386,37,Preventive,6.52,10.97,5235.27
72,MNT-000072,20220108,50,1810,2101,Inspection,4.87,13.62,7903.05
73,MNT-000073,20220111,53,1397,4132,Corrective,1.55,12.33,4595.17
74,MNT-000074,20240715,56,1872,2363,Preventive,2.29,12.94,2028.71
75,MNT-000075,20190511,33,1135,4331,Corrective,2.86,1.14,525.9
76,MNT-000076,20240403,26,944,4431,Corrective,0.56,10.84,9904.75
77,MNT-000077,20190407,20,958,2650,Corrective,5.65,5.45,9652.48
78,MNT-000078,20210623,80,705,2695,Corrective,1.26,12.53,1350.55
79,MNT-000079,20251204,7,1753,1832,Preventive,5.88,12.68,4652.84
80,MNT-000080,20200813,21,136,3906,Corrective,4.87,2.25,328.12
81,MNT-000081,20200615,95,365,3072,Preventive,4.49,0.77,1507.77
82,MNT-000082,20221017,18,1738,1688,Corrective,4.33,7.51,4389.98
83,MNT-000083,20220617,91,1471,4170,Corrective,1.12,0.87,8747.26
84,MNT-000084,20251117,3,1988,703,Preventive,6.43,14.52,5546.82
85,MNT-000085,20241222,63,1428,1980,Corrective,1.42,4.32,5646.56
86,MNT-000086,20250107,12,1225,2086,Inspection,0.69,1.48,6436.77
87,MNT-000087,20190212,86,1611,3409,Preventive,6.91,16.11,7345.53
88,MNT-000088,20250417,47,1063,3874,Corrective,5.53,8.41,8386.31
89,MNT-000089,20230325,87,1712,1373,Preventive,6.85,21.77,4289.62
90,MNT-000090,20210327,40,250,415,Corrective,4.56,2.64,3009.36
91,MNT-000091,20250715,57,965,4732,Inspection,7.53,18.85,3386.35
92,MNT-000092,20240321,18,860,3147,Inspection,4.37,5.95,2269.24
93,MNT-000093,20201104,53,1934,1949,Inspection,6.43,10.54,1769.82
94,MNT-000094,20231227,18,1068,1577,Inspection,1.76,15.16,9898.71
95,MNT-000095,20220205,30,1650,659,Inspection,4.52,12.65,6287.02
96,MNT-000096,20240528,40,733,1940,Preventive,2.15,10.84,7103.74
97,MNT-000097,20191206,75,1466,3901,Corrective,2.24,6.06,8005.74
98,MNT-000098,20251207,65,511,3664,Preventive,2.79,21.59,4387.64
99,MNT-000099,20231021,32,374,1841,Inspection,3.41,22.1,6805.72
100,MNT-000100,20220415,75,1706,2449,Corrective,6.55,16.43,8965.35
101,MNT-000101,20240525,18,135,2387,Preventive,5.12,8.47,7002.73
102,MNT-000102,20211217,93,1920,2600,Corrective,4.23,13.5,207.76
103,MNT-000103,20220226,49,686,2792,Preventive,3.27,1.71,1868.09
