production_key,production_id,date_key,product_key,unit_of_measure,location_key,machine_key,employee_key,planned_quantity,produced_quantity,defect_quantity,production_hours
1,PRD-000001,20200206,1257,Liter,9,1507,1240,483,390,0,3.67
2,PRD-000002,20210602,670,Liter,35,1537,4474,57,52,31,3.96
3,PRD-000003,20201018,1107,Kg,90,1893,4185,53,47,33,8.7
4,PRD-000004,20230222,1959,Each,42,1861,1751,72,66,25,4.82
5,PRD-000005,20230325,2146,Meter,11,153,2356,377,317,280,7.69
6,PRD-000006,20230108,429,Each,55,796,2991,264,264,74,10.99
7,PRD-000007,20210917,2183,Kg,89,876,3095,391,322,234,11.44
8,PRD-000008,20230919,232,Each,13,1697,1307,193,166,57,5.57
9,PRD-000009,20190502,2447,Kg,6,375,2673,266,263,71,3.34
10,PRD-000010,20200816,4990,Meter,43,521,1523,425,364,25,3.63
11,PRD-000011,20210114,4883,Meter,20,471,4907,170,145,57,2.63
12,PRD-000012,20240420,585,Liter,29,1141,3666,82,71,13,9.77
13,PRD-000013,20200405,151,Each,66,1738,643,199,180,93,10.49
14,PRD-000014,20231111,514,Each,2,1956,2118,237,192,96,5.14
15,PRD-000015,20230124,3670,Each,81,1522,2057,275,255,161,9.57
16,PRD-000016,20210531,4488,Meter,97,807,3535,93,79,28,10.94
17,PRD-000017,20240126,4328,Liter,33,1557,1350,260,236,50,8.19
18,PRD-000018,20221113,534,Liter,96,749,4254,250,233,21,1.06
19,PRD-000019,20210219,1494,Liter,84,27,4889,200,170,64,4.87
20,PRD-000020,20210216,2953,Liter,60,518,3342,123,111,30,9.48
21,PRD-000021,20220512,3374,Kg,28,765,3602,52,44,21,3.09
22,PRD-000022,20231029,187,Each,2,275,1131,268,239,79,7.9
23,PRD-000023,20230528,3019,Kg,80,1355,3131,245,241,106,8.82
24,PRD-000024,20200919,3950,Each,55,1941,237,217,186,55,1.76
25,PRD-000025,20230508,4420,Each,89,1306,4941,341,303,244,6.02
26,PRD-000026,20210421,4975,Meter,14,1051,3179,176,172,18,1.99
27,PRD-000027,20210322,4923,Meter,86,1408,1441,245,213,117,5.83
28,PRD-000028,20190212,941,Liter,11,1636,1940,191,185,93,6.19
29,PRD-000029,20220615,3839,Liter,27,753,2614,437,375,64,7.03
30,PRD-000030,20200316,2005,Each,3,947,1808,245,199,44,11.44
31,PRD-000031,20200731,705,Meter,73,184,1983,333,316,134,6.09
32,PRD-000032,20200222,2202,Liter,41,522,4544,261,254,79,6.03
33,PRD-000033,20210925,2985,Kg,82,614,1372,413,379,191,5.29
34,PRD-000034,20241121,3719,Liter,99,1372,2428,278,250,126,11.59
35,PRD-000035,20191109,4198,Meter,6,500,2538,157,148,55,10.43
36,PRD-000036,20250331,3248,Meter,65,300,3955,284,255,39,7.31
37,PRD-000037,20220515,857,Each,91,381,1166,182,160,97,3.01
38,PRD-000038,20210129,4203,Liter,21,1262,4175,368,365,215,4.07
39,PRD-000039,20241029,3030,Meter,99,880,4229,251,212,55,8.1
40,PRD-000040,20250808,1355,Each,95,93,4761,176,168,127,1.8
41,PRD-000041,20200502,1519,Meter,85,834,4118,315,307,57,2.15
42,PRD-000042,20190228,170,Meter,99,406,3275,435,405,11,2.86
43,PRD-000043,20230717,1057,Each,76,109,4941,426,361,162,5.0
44,PRD-000044,20250822,4579,Kg,59,603,3422,218,176,52,4.65
45,PRD-000045,20210531,3080,Meter,57,645,3948,149,141,134,5.18
46,PRD-000046,20240512,2462,Each,9,871,3535,95,77,45,9.24
47,PRD-000047,20200817,866,Each,60,1021,236,170,156,107,1.82
48,PRD-000048,20220426,3204,Meter,2,739,2649,326,285,110,4.71
49,PRD-000049,20201226,2283,Liter,55,1944,2733,423,369,204,1.12
50,PRD-000050,20211106,3047,Kg,39,1273,2670,248,209,180,6.94
51,PRD-000051,20230915,811,Kg,59,667,1525,275,223,185,5.41
52,PRD-000052,20251107,3659,Liter,91,1042,4891,418,406,59,1.88
53,PRD-000053,20190406,260,Kg,15,1226,4615,440,407,261,9.48
54,PRD-000054,20230815,4121,Kg,39,1869,8,179,145,108,4.32
55,PRD-000055,20230922,1111,Meter,24,1840,1606,370,319,83,10.82
56,PRD-000056,20221218,2394,Each,52,1716,3927,137,111,83,3.84
57,PRD-000057,20231004,4390,Liter,18,349,1626,277,251,246,9.5
58,PRD-000058,20240806,4307,Each,17,392,1977,88,79,12,8.84
59,PRD-000059,20190127,1143,Each,8,1463,3627,313,264,200,6.13
60,PRD-000060,20240319,4291,Meter,8,851,137,225,210,78,1.08
61,PRD-000061,20190426,2956,Each,38,608,2613,109,92,80,2.27
62,PRD-000062,20231007,785,Kg,16,663,1882,249,242,169,2.21
63,PRD-000063,20250521,2604,Liter,67,1272,2594,346,281,27,4.48
64,PRD-000064,20230814,3446,Kg,70,1616,4440,221,182,5,6.52
65,PRD-000065,20230330,2492,Kg,1,398,2757,328,305,102,9.8
66,PRD-000066,20250821,2840,Kg,83,84,2322,67,60,24,8.77
67,PRD-000067,20200419,4595,Meter,43,13,4722,107,90,90,6.08
68,PRD-000068,20230523,201,Liter,38,1963,3471,363,331,253,1.74
69,PRD-000069,20240501,1536,Each,36,1233,4712,123,117,117,7.9
70,PRD-000070,20221107,4747,Kg,88,695,529,150,138,114,6.58
71,PRD-000071,20190629,190,Liter,32,1765,948,239,224,70,11.51
72,PRD-000072,20230918,2481,Meter,80,1309,1249,209,206,72,2.4
73,PRD-000073,20240816,2424,Meter,55,301,1683,138,114,54,7.71
74,PRD-000074,20230514,4129,Meter,68,1255,240,476,439,38,3.63
75,PRD-000075,20250527,3164,Liter,30,22,1485,453,409,167,10.33
76,PRD-000076,20250602,4675,Kg,94,924,3970,100,92,27,7.55
77,PRD-000077,20220515,2044,Kg,73,1109,2625,294,246,241,4.22
78,PRD-000078,20230129,3860,Each,76,1359,1925,328,326,305,4.22
79,PRD-000079,20240615,4286,Liter,63,129,3644,493,482,345,6.11
80,PRD-000080,20200111,4656,Meter,14,135,4353,171,143,75,3.88
81,PRD-000081,20210813,4009,Each,98,593,3182,413,369,235,4.03
82,PRD-000082,20220303,4337,Each,90,451,1863,106,98,24,1.49
83,PRD-000083,20200907,1025,Liter,66,217,32,73,59,7,2.13
84,PRD-000084,20201020,3740,Liter,78,1550,4683,345,280,254,8.28
85,PRD-000085,20200531,4009,Each,6,1582,1279,486,419,244,5.95
86,PRD-000086,20220923,1692,Liter,45,682,627,281,266,233,5.8
87,PRD-000087,20240927,4997,Kg,65,1045,2343,233,192,189,4.48
88,PRD-000088,20241218,4359,Kg,79,1681,848,188,163,88,1.2
89,PRD-000089,20240119,2715,Liter,14,1854,1446,315,266,40,3.08
90,PRD-000090,20221108,1124,Kg,89,355,1707,324,275,154,3.0
91,PRD-000091,20210725,629,Kg,99,298,3630,425,366,55,9.9
92,PRD-000092,20220817,1285,Meter,20,1664,4630,418,376,219,8.08
93,PRD-000093,20230210,2655,Kg,19,1625,845,439,373,5,6.86
94,PRD-000094,20230517,1688,Liter,22,1777,3603,260,237,102,3.63
95,PRD-000095,20251212,3116,Meter,70,1726,3266,496,457,159,8.41
96,PRD-000096,20220529,2709,Kg,75,852,4177,338,336,46,4.32
97,PRD-000097,20220509,3409,Kg,88,715,2966,336,333,163,8.8
98,PRD-000098,20230212,1114,Kg,23,681,1555,199,179,52,5.59
99,PRD-000099,20240102,3809,Each,36,1683,1507,330,281,269,9.61
100,PRD-000100,20211206,2493,Each,65,99,4587,174,153,32,3.39
