waste_key,waste_id,date_key,location_key,waste_category,disposal_method,waste_quantity
1,WST-000001,20200326,34,General,Landfill,159.904
2,WST-000002,20200901,77,Chemical,Landfill,531.86
3,WST-000003,20191214,72,General,Treatment,143.752
4,WST-000004,20200511,51,Plastic,Landfill,102.881
5,WST-000005,20240115,15,Paper,Treatment,620.23
6,WST-000006,20220418,1,General,Reuse,769.115
7,WST-000007,20220717,17,Paper,Recycling,369.459
8,WST-000008,20210720,68,Chemical,Treatment,703.848
9,WST-000009,20210416,37,Plastic,Landfill,76.32
10,WST-000010,20251223,6,Paper,Treatment,99.124
11,WST-000011,20200909,62,Chemical,Recycling,564.681
12,WST-000012,20200130,93,Plastic,Recycling,716.761
13,WST-000013,20250428,8,General,Treatment,545.223
14,WST-000014,20200414,60,Plastic,Recycling,231.948
15,WST-000015,20190131,81,Plastic,Reuse,426.28
16,WST-000016,20210327,94,Plastic,Recycling,932.664
17,WST-000017,20250821,32,Metal,Reuse,567.372
18,WST-000018,20191209,92,Plastic,Reuse,189.922
19,WST-000019,20240626,45,Plastic,Reuse,220.722
20,WST-000020,20211126,8,Chemical,Landfill,207.017
21,WST-000021,20200204,91,General,Treatment,927.596
22,WST-000022,20220108,30,Chemical,Landfill,807.091
23,WST-000023,20190814,13,General,Reuse,326.038
24,WST-000024,20210623,39,Plastic,Treatment,660.534
25,WST-000025,20210304,50,Plastic,Treatment,704.72
26,WST-000026,20251028,60,Plastic,Landfill,715.788
27,WST-000027,20241224,100,Paper,Reuse,392.887
28,WST-000028,20201128,52,Chemical,Landfill,851.305
29,WST-000029,20241231,77,Metal,Recycling,296.858
30,WST-000030,20190209,57,Metal,Recycling,754.382
31,WST-000031,20210907,14,Plastic,Reuse,821.867
32,WST-000032,20240930,98,Metal,Treatment,976.001
33,WST-000033,20190718,12,General,Treatment,304.206
34,WST-000034,20200110,34,Plastic,Landfill,723.633
35,WST-000035,20220705,50,General,Treatment,561.07
36,WST-000036,20240913,99,Paper,Reuse,185.976
37,WST-000037,20200830,44,Paper,Reuse,871.701
38,WST-000038,20220906,47,Metal,Recycling,658.464
39,WST-000039,20211124,85,Plastic,Landfill,980.237
40,WST-000040,20190428,81,Chemical,Recycling,496.041
41,WST-000041,20210421,30,Chemical,Landfill,495.918
