machine_id,location_id,machine_name,machine_type,installation_date,status
MCH-000001,LOC-0059,Furnace 00001,,2019-07-21,Active
MCH-000002,LOC-0005,Press 00002,Press,2019-10-25,Active
MCH-000003,LOC-0014,Press 00003,Press,2022-04-20,Active
MCH-000004,LOC-0049,Assembly Line 00004,Assembly Line,2022-09-20,Active
MCH-000005,LOC-0095,Robotic Cell 00005,,2021-12-13,Active
MCH-000006,LOC-0069,Furnace 00006,Furnace,2022-02-22,Active
MCH-000007,LOC-0064,CNC Machine 00007,CNC Machine,2021-12-02,Active
MCH-000008,LOC-0077,CNC Machine 00008,CNC Machine,2023-09-05,Active
MCH-000009,LOC-0038,Furnace 00009,Furnace,2019-01-05,Active
MCH-000010,LOC-0035,Conveyor 00010,Conveyor,2024-12-30,Active
MCH-000011,LOC-0084,Cutting Machine 00011,,2021-09-24,Active
MCH-000012,LOC-0040,Press 00012,Press,2022-09-30,Active
MCH-000013,LOC-0081,CNC Machine 00013,CNC Machine,2019-10-23,Active
MCH-000014,LOC-0084,Assembly Line 00014,Assembly Line,2025-08-14,Active
MCH-000015,LOC-0083,Furnace 00015,Furnace,2019-02-12,Maintenance
MCH-000016,LOC-0034,CNC Machine 00016,CNC Machine,2021-05-04,Active
MCH-000017,LOC-0080,Cutting Machine 00017,Cutting Machine,2022-08-16,Active
MCH-000018,LOC-0031,Conveyor 00018,Conveyor,2022-07-10,Inactive
MCH-000019,LOC-0045,Robotic Cell 00019,Robotic Cell,2022-04-15,Active
MCH-000020,LOC-0098,Furnace 00020,Furnace,2021-03-22,Inactive
MCH-000021,LOC-0033, CNC Machine 00021 ,CNC Machine,2020-06-24,Maintenance
MCH-000022,LOC-0052,Packaging Machine 00022,Packaging Machine,2025-03-22,Active
MCH-000023,LOC-0092,Assembly Line 00023,Assembly Line,2021-08-02,Active
MCH-000024,LOC-0035,Robotic Cell 00024,Robotic Cell,2023-09-25,Active
MCH-000025,LOC-0060,Press 00025,Press,2020-10-29,Maintenance
MCH-000026,LOC-0081,Assembly Line 00026,Assembly Line,2021-12-20,Active
MCH-000027,LOC-0098,Robotic Cell 00027,Robotic Cell,2024-03-12,Active
MCH-000028,LOC-0077,Cutting Machine 00028,Cutting Machine,2020-08-14,Active
MCH-000029,LOC-0043,Press 00029,Press,2025-09-02,Maintenance
MCH-000030,LOC-0061,Packaging Machine 00030,Packaging Machine,2021-03-22,Active
MCH-000031,LOC-0036,Cutting Machine 00031,Cutting Machine,2021-01-14,Active
MCH-000032,LOC-0070,Robotic Cell 00032,Robotic Cell,2024-12-23,Active
MCH-000033,LOC-0046,Conveyor 00033,Conveyor,2023-12-09,Active
MCH-000034,LOC-0015,Conveyor 00034,Conveyor,2022-08-13,Active
MCH-000035,LOC-0062,Assembly Line 00035,Assembly Line,2019-01-02,Active
MCH-000036,LOC-0009,Robotic Cell 00036,Robotic Cell,2022-06-24,Active
MCH-000037,LOC-0025,CNC Machine 00037,CNC Machine,2022-10-11,Active
MCH-000038,LOC-0097,Assembly Line 00038,Assembly Line,2021-08-02,Active
MCH-000039,LOC-0071,CNC Machine 00039,CNC Machine,2024-03-22,Maintenance
MCH-000040,LOC-0035,Conveyor 00040,Conveyor,2023-09-21,Active
MCH-000041,LOC-0044,Cutting Machine 00041,Cutting Machine,2021-06-10,Maintenance
MCH-000042,LOC-0085,Packaging Machine 00042,Packaging Machine,2019-08-13,Active
MCH-000043,LOC-0027,Press 00043,Press,2020-09-24,Active
MCH-000044,LOC-0062,Conveyor 00044,,2025-04-30,Active
MCH-000045,LOC-0003,Assembly Line 00045,Assembly Line,2024-05-15,Active
MCH-000046,LOC-0063,Robotic Cell 00046,Robotic Cell,2022-11-16,Maintenance
MCH-000047,LOC-0099,Furnace 00047,Furnace,2020-06-02,Active
MCH-000048,LOC-0081,Packaging Machine 00048,Packaging Machine,2024-08-28,Active
MCH-000049,LOC-0014,Robotic Cell 00049,Robotic Cell,2022-12-17,Maintenance
MCH-000050,LOC-0011,Cutting Machine 00050,Cutting Machine,2024-12-11,Active
MCH-000051,LOC-0023,Furnace 00051,Furnace,2022-07-17,Active
MCH-000052,LOC-0089,Packaging Machine 00052,Packaging Machine,2025-10-03,Active
MCH-000053,LOC-0080,Assembly Line 00053,Assembly Line,2024-08-20,Active
MCH-000054,LOC-0034,Conveyor 00054,Conveyor,2019-06-21,Active
MCH-000055,LOC-0096,Cutting Machine 00055,Cutting Machine,2020-10-18,Active
MCH-000056,LOC-0054,Assembly Line 00056,Assembly Line,2020-04-30,Active
MCH-000057,LOC-0055,Packaging Machine 00057,Packaging Machine,2024-01-13,Active
MCH-000058,LOC-0057,Furnace 00058,Furnace,2022-07-29,Active
MCH-000059,LOC-0086,Packaging Machine 00059,Packaging Machine,2019-12-29,Maintenance
MCH-000060,LOC-0055,Packaging Machine 00060,Packaging Machine,2022-02-09,Active
MCH-000061,LOC-0095,Conveyor 00061,Conveyor,2020-08-05,unknown
MCH-000062,LOC-0055,Cutting Machine 00062,Cutting Machine,2020-11-12,Active
MCH-000063,LOC-0095,CNC Machine 00063,CNC Machine,2022-09-02,unknown
MCH-000064,LOC-0028,Conveyor 00064,Conveyor,2019-01-18,Active
MCH-000065,LOC-0079,Packaging Machine 00065,Packaging Machine,2024-01-13,Maintenance
MCH-000066,LOC-0062,Packaging Machine 00066,Packaging Machine,2024-12-23,Active
MCH-000067,LOC-0061,Assembly Line 00067,Assembly Line,2020-04-21,Active
MCH-000068,LOC-0060,Cutting Machine 00068,Cutting Machine,2022-11-05,Active
MCH-000069,LOC-0068,Furnace 00069,Furnace,2020-11-29,Active
MCH-000070,LOC-0055,Press 00070,Press,2019-01-23,Active
MCH-000071,LOC-0028,CNC Machine 00071,CNC Machine,2023-07-16,Active
MCH-000072,LOC-0064,CNC Machine 00072,CNC Machine,2019-02-24,Inactive
MCH-000073,LOC-0082,Furnace 00073,Furnace,2024-07-06,Active
MCH-000074,LOC-0067,Packaging Machine 00074,Packaging Machine,2022-02-02,Active
MCH-000075,LOC-0092,Cutting Machine 00075,Cutting Machine,2022-05-09,Active
MCH-000076,LOC-0042,Conveyor 00076,,2021-07-31,Inactive
MCH-000077,LOC-0011,Conveyor 00077,Conveyor,2019-08-04,Active
MCH-000078,LOC-0072,Press 00078,Press,2024-01-20,Maintenance
MCH-000079,LOC-0082,Robotic Cell 00079,Robotic Cell,2024-04-03,Maintenance
MCH-000080,LOC-0018,CNC Machine 00080,CNC Machine,2021-01-06,Active
MCH-000081,LOC-0088,Assembly Line 00081,Assembly Line,2019-11-20,Active
MCH-000082,LOC-0008,Furnace 00082,Furnace,2022-02-26,Active
MCH-000083,LOC-0051, Conveyor 00083 ,Conveyor,2020-07-06,Maintenance
MCH-000084,LOC-0058,Cutting Machine 00084,,2024-10-10,Active
MCH-000085,LOC-0063,Packaging Machine 00085,Packaging Machine,2021-10-10,unknown
MCH-000086,LOC-0030,Assembly Line 00086,Assembly Line,2024-07-30,Active
MCH-000087,LOC-0057,Furnace 00087,Furnace,2022-11-27,Maintenance
MCH-000088,LOC-0040,CNC Machine 00088,CNC Machine,2024-04-10,Maintenance
MCH-000089,LOC-0048,Conveyor 00089,Conveyor,2020-09-14,Active
MCH-000090,LOC-0070,Robotic Cell 00090,Robotic Cell,2022-02-11,Active
MCH-000091,LOC-0020,Assembly Line 00091,Assembly Line,2022-09-29,Active
MCH-000092,LOC-0002,Robotic Cell 00092,Robotic Cell,2024-05-23,unknown
MCH-000093,LOC-0036,Robotic Cell 00093,Robotic Cell,2023-03-19,Active
MCH-000094,LOC-0004,Furnace 00094,Furnace,2024-10-28,Active
MCH-000095,LOC-0054,Press 00095,Press,2020-01-31,Active
MCH-000096,LOC-0070,Cutting Machine 00096,Cutting Machine,2019-03-11,Inactive
MCH-000097,LOC-0040,Conveyor 00097,,2021-12-21,Active
MCH-000098,LOC-0004,Packaging Machine 00098,Packaging Machine,2020-01-28,Active
MCH-000099,LOC-0095,Assembly Line 00099,Assembly Line,2021-06-12,Active
MCH-000100,LOC-0050,CNC Machine 00100,CNC Machine,2020-07-12,unknown
MCH-000101,LOC-0087,CNC Machine 00101,CNC Machine,2021-04-23,Active
MCH-000102,LOC-0089,Press 00102,Press,2020-09-03,Active
MCH-000103,LOC-0005,Cutting Machine 00103,Cutting Machine,2019-12-22,Active
MCH-000104,LOC-0058,Assembly Line 00104,Assembly Line,2023-05-03,Active
MCH-000105,LOC-0002,Cutting Machine 00105,,2022-08-20,Active
MCH-000106,LOC-0017,Conveyor 00106,Conveyor,2024-11-16,Active
MCH-000107,LOC-0030,Press 00107,Press,2023-08-22,Active
MCH-000108,LOC-0070,Robotic Cell 00108,Robotic Cell,2022-09-18,Maintenance
