product_key,product_id,supplier_key,product_name,category,subcategory,unit_of_measure,unit_cost,unit_price,status
1,PROD-000001,996,Atlas Product 1,Packaging,Standard,Liter,478.67,629.38,Active
2,PROD-000002,216,Atlas Product 2,Raw Materials,Specialty,Each,79.39,119.88,Active
3,PROD-000003,96,Atlas Product 3,Industrial Equipment,Standard,Kg,445.2,632.21,Active
4,PROD-000004,315,Atlas Product 4,Industrial Equipment,Standard,Kg,282.84,451.36,Active
5,PROD-000005,103,Atlas Product 5,Raw Materials,Specialty,Liter,216.44,503.45,Active
6,PROD-000006,257,Atlas Product 6,Packaging,Specialty,Meter,317.54,544.59,Inactive
7,PROD-000007,218,Atlas Product 7,Industrial Equipment,Specialty,Meter,16.02,38.88,Active
8,PROD-000008,356,Atlas Product 8,Packaging,Standard,Kg,206.08,361.45,Active
9,PROD-000009,403,Atlas Product 9,Raw Materials,Standard,Each,364.28,871.4,Inactive
10,PROD-000010,706,Atlas Product 10,Components,Premium,Kg,161.82,233.62,Active
11,PROD-000011,925,Atlas Product 11,Industrial Equipment,Specialty,Meter,183.67,309.87,Active
12,PROD-000012,955,Atlas Product 12,Industrial Equipment,Standard,Kg,427.3,559.0,Inactive
13,PROD-000013,862,Atlas Product 13,Packaging,Specialty,Kg,488.92,948.65,Active
14,PROD-000014,978,Atlas Product 14,Industrial Equipment,Specialty,Meter,310.82,710.22,Active
15,PROD-000015,355,Atlas Product 15,Raw Materials,Specialty,Each,422.72,543.22,Active
16,PROD-000016,672,Atlas Product 16,Electronics,Premium,Kg,286.57,632.7,Active
17,PROD-000017,463,Atlas Product 17,Electronics,Standard,Meter,364.43,764.98,Active
18,PROD-000018,844,Atlas Product 18,Packaging,Standard,Kg,276.62,375.14,Active
19,PROD-000019,11,Atlas Product 19,Industrial Equipment,Standard,Kg,297.84,587.96,Active
20,PROD-000020,580,Atlas Product 20,Packaging,Premium,Liter,356.93,810.94,Active
21,PROD-000021,967,Atlas Product 21,Packaging,Standard,Kg,122.01,256.65,Active
22,PROD-000022,854,Atlas Product 22,Components,Specialty,Each,473.68,856.69,Active
23,PROD-000023,401,Atlas Product 23,Components,Specialty,Meter,447.64,772.22,Active
24,PROD-000024,307,Atlas Product 24,Raw Materials,Premium,Each,419.48,786.52,Active
25,PROD-000025,814,Atlas Product 25,Components,Specialty,Kg,195.54,280.67,Active
26,PROD-000026,276,Atlas Product 26,Electronics,Specialty,Kg,496.16,715.17,Active
27,PROD-000027,362,Atlas Product 27,Raw Materials,Premium,Liter,357.55,646.64,Inactive
28,PROD-000028,305,Atlas Product 28,Packaging,Standard,Each,58.35,130.17,Inactive
29,PROD-000029,834,Atlas Product 29,Components,Specialty,Each,157.45,293.41,Active
30,PROD-000030,529,Atlas Product 30,Raw Materials,Standard,Meter,196.91,491.11,Active
31,PROD-000031,593,Atlas Product 31,Raw Materials,Standard,Each,381.66,868.52,Active
32,PROD-000032,179,Atlas Product 32,Electronics,Premium,Meter,367.07,613.77,Active
33,PROD-000033,528,Atlas Product 33,Industrial Equipment,Premium,Liter,484.19,730.75,Active
34,PROD-000034,790,Atlas Product 34,Raw Materials,Specialty,Liter,258.94,391.83,Active
35,PROD-000035,821,Atlas Product 35,Components,Specialty,Each,479.44,1186.7,Active
36,PROD-000036,598,Atlas Product 36,Industrial Equipment,Specialty,Each,73.14,151.13,Active
37,PROD-000037,952,Atlas Product 37,Packaging,Specialty,Meter,464.34,1154.01,Active
38,PROD-000038,27,Atlas Product 38,Electronics,Specialty,Kg,44.69,89.87,Active
