budget_key,budget_id,date_key,account_key,location_key,budget_category,budget_amount
1,BUD-000001,20240723,75,88,Utilities,467442.01
2,BUD-000002,20250820,663,14,Payroll,99484.92
3,BUD-000003,20200114,916,7,Utilities,340935.3
4,BUD-000004,20231004,379,96,Revenue,180803.24
5,BUD-000005,20250329,115,17,Maintenance,271514.94
6,BUD-000006,20201229,809,80,Payroll,131691.68
7,BUD-000007,20190220,74,87,Operations,402805.97
8,BUD-000008,20230603,978,49,Revenue,376189.06
9,BUD-000009,20220518,300,30,Revenue,185495.03
10,BUD-000010,20200613,867,89,Maintenance,27753.7
11,BUD-000011,20250228,434,10,Utilities,385159.29
12,BUD-000012,20220505,432,1,Payroll,46134.14
13,BUD-000013,20200726,949,58,Payroll,210794.02
14,BUD-000014,20220907,491,42,Utilities,206696.62
15,BUD-000015,20220510,369,81,Operations,423758.26
16,BUD-000016,20210320,586,39,Payroll,127678.7
17,BUD-000017,20230730,616,73,Utilities,217816.39
18,BUD-000018,20241106,310,19,Operations,245011.99
19,BUD-000019,20250615,54,5,Utilities,146982.77
20,BUD-000020,20250506,673,92,Maintenance,357118.17
21,BUD-000021,20230531,246,8,Payroll,183570.05
22,BUD-000022,20241110,10,100,Revenue,325662.19
23,BUD-000023,20190515,155,51,Utilities,361355.12
24,BUD-000024,20251202,944,14,Maintenance,30416.2
25,BUD-000025,20220119,640,55,Revenue,316600.88
26,BUD-000026,20230825,474,86,Operations,180209.55
27,BUD-000027,20220129,204,85,Utilities,472817.78
28,BUD-000028,20200427,169,32,Operations,81845.11
29,BUD-000029,20230622,977,89,Maintenance,466174.39
30,BUD-000030,20210118,893,61,Revenue,246738.98
31,BUD-000031,20240507,703,67,Operations,364399.24
32,BUD-000032,20220428,208,14,Revenue,453530.29
33,BUD-000033,20230601,921,36,Utilities,420850.86
34,BUD-000034,20210708,63,64,Maintenance,470096.31
35,BUD-000035,20220213,930,25,Revenue,73465.96
36,BUD-000036,20201101,220,83,Utilities,311697.66
37,BUD-000037,20230105,774,56,Operations,345231.54
38,BUD-000038,20220215,971,88,Operations,181203.7
39,BUD-000039,20210407,244,52,Revenue,474676.58
40,BUD-000040,20231031,536,18,Maintenance,114690.54
41,BUD-000041,20221220,782,84,Operations,302252.8
42,BUD-000042,20230225,251,8,Revenue,417855.14
43,BUD-000043,20250531,177,91,Operations,26365.23
44,BUD-000044,20230827,935,18,Operations,447421.14
45,BUD-000045,20220410,717,93,Utilities,321594.08
46,BUD-000046,20191018,551,94,Payroll,444208.05
47,BUD-000047,20210425,95,30,Payroll,395312.37
48,BUD-000048,20211031,698,82,Maintenance,108543.6
49,BUD-000049,20240228,587,79,Maintenance,152902.89
50,BUD-000050,20230914,920,70,Payroll,120676.15
51,BUD-000051,20230115,435,48,Revenue,302008.85
52,BUD-000052,20241231,918,97,Revenue,34580.19
53,BUD-000053,20200908,637,64,Operations,106380.75
54,BUD-000054,20240319,249,15,Operations,180957.46
55,BUD-000055,20210808,420,37,Revenue,221752.49
56,BUD-000056,20210415,275,91,Payroll,212493.71
57,BUD-000057,20210602,461,22,Payroll,493632.48
58,BUD-000058,20191007,450,75,Utilities,58086.68
59,BUD-000059,20191202,187,15,Revenue,38381.89
60,BUD-000060,20200629,665,94,Payroll,421995.47
61,BUD-000061,20201230,56,90,Utilities,73399.45
62,BUD-000062,20210225,768,64,Maintenance,449188.64
63,BUD-000063,20230205,696,45,Operations,358012.3
64,BUD-000064,20230503,908,97,Maintenance,479754.64
65,BUD-000065,20241112,354,1,Revenue,131297.63
66,BUD-000066,20230106,989,82,Operations,222702.56
67,BUD-000067,20250922,849,96,Maintenance,437963.56
68,BUD-000068,20241227,145,41,Payroll,191324.12
69,BUD-000069,20240125,796,35,Maintenance,335875.71
70,BUD-000070,20230426,819,39,Utilities,128707.64
71,BUD-000071,20221109,97,60,Payroll,140850.91
72,BUD-000072,20220320,221,69,Operations,223935.47
73,BUD-000073,20200331,308,89,Revenue,55665.66
74,BUD-000074,20230101,930,34,Operations,304834.95
75,BUD-000075,20200221,489,89,Maintenance,64532.42
76,BUD-000076,20201102,573,83,Operations,187010.22
77,BUD-000077,20240412,509,1,Operations,138492.39
78,BUD-000078,20190213,828,1,Maintenance,254159.86
79,BUD-000079,20230426,893,66,Payroll,116373.83
80,BUD-000080,20200123,217,11,Revenue,64999.49
81,BUD-000081,20250626,19,99,Utilities,157764.4
82,BUD-000082,20220503,286,6,Payroll,146727.49
83,BUD-000083,20200110,770,82,Revenue,279011.62
84,BUD-000084,20220207,173,15,Maintenance,364355.23
85,BUD-000085,20200708,774,86,Payroll,395057.53
86,BUD-000086,20200416,223,85,Revenue,309367.43
87,BUD-000087,20250602,107,33,Maintenance,174314.36
88,BUD-000088,20210324,236,33,Revenue,119838.37
89,BUD-000089,20201229,381,26,Revenue,48130.4
90,BUD-000090,20190820,982,64,Revenue,114719.02
91,BUD-000091,20221105,424,83,Maintenance,232736.37
92,BUD-000092,20210121,172,77,Utilities,439885.75
93,BUD-000093,20200208,820,58,Revenue,436666.35
94,BUD-000094,20210406,733,96,Revenue,235771.1
95,BUD-000095,20220622,531,50,Payroll,94893.56
96,BUD-000096,20221030,552,66,Utilities,431635.16
97,BUD-000097,20250626,771,66,Utilities,478547.09
98,BUD-000098,20190206,26,81,Operations,375074.85
99,BUD-000099,20200803,138,11,Payroll,419619.85
100,BUD-000100,20220610,993,85,Maintenance,359296.23
101,BUD-000101,20230102,755,36,Revenue,365119.57
102,BUD-000102,20200306,20,49,Operations,436264.25
103,BUD-000103,20200715,215,73,Utilities,135297.3
104,BUD-000104,20250808,122,96,Payroll,41516.97
105,BUD-000105,20240911,466,51,Operations,321913.69
106,BUD-000106,20191116,455,70,Revenue,226159.93
107,BUD-000107,20211220,289,65,Maintenance,119141.05
108,BUD-000108,20200823,900,96,Operations,423466.7
109,BUD-000109,20230709,670,21,Payroll,237412.94
110,BUD-000110,20250112,697,23,Maintenance,222089.06
111,BUD-000111,20250610,228,63,Payroll,81329.62
112,BUD-000112,20220728,775,69,Utilities,342090.42
113,BUD-000113,20210111,70,35,Operations,331840.47
114,BUD-000114,20231203,990,73,Revenue,280132.92
115,BUD-000115,20211205,139,48,Operations,458130.54
116,BUD-000116,20240424,369,67,Payroll,74800.06
117,BUD-000117,20240213,232,17,Maintenance,123102.28
118,BUD-000118,20240920,150,60,Operations,475676.25
119,BUD-000119,20250220,979,46,Revenue,25870.23
120,BUD-000120,20221113,222,8,Maintenance,295821.96
121,BUD-000121,20220325,512,95,Maintenance,139058.56
122,BUD-000122,20190128,573,49,Maintenance,37209.88
123,BUD-000123,20230903,992,16,Payroll,23795.74
124,BUD-000124,20231004,57,21,Utilities,346940.27
125,BUD-000125,20190510,422,3,Payroll,90039.89
126,BUD-000126,20200520,187,50,Utilities,94044.54
127,BUD-000127,20190627,126,92,Utilities,373154.53
128,BUD-000128,20251218,209,32,Payroll,57853.02
129,BUD-000129,20190707,499,42,Revenue,299444.28
130,BUD-000130,20230808,782,89,Utilities,138706.2
131,BUD-000131,20240130,448,70,Operations,118908.58
132,BUD-000132,20250618,669,49,Maintenance,54701.65
133,BUD-000133,20191006,642,10,Revenue,86096.93
134,BUD-000134,20210912,198,62,Payroll,425507.51
135,BUD-000135,20240908,10,24,Payroll,323012.07
136,BUD-000136,20241015,67,49,Utilities,338315.75
137,BUD-000137,20240903,729,3,Utilities,245143.78
138,BUD-000138,20221129,332,30,Payroll,202317.83
139,BUD-000139,20230121,186,87,Revenue,69621.28
140,BUD-000140,20230323,28,43,Utilities,222798.42
