energy_key,energy_id,date_key,location_key,machine_key,energy_source,unit_of_measure,energy_consumption
1,ENG-000001,20250321,27,1868,Diesel,kWh,8292.654
2,ENG-000002,20240323,21,258,Diesel,kWh,8089.905
3,ENG-000003,20250613,35,1070,Natural Gas,kWh,7031.955
5,ENG-000005,20201206,36,1707,Electricity,kWh,7566.19
6,ENG-000006,20231229,2,768,Natural Gas,kWh,5011.282
7,ENG-000007,20240516,10,643,Natural Gas,kWh,9111.819
8,ENG-000008,20200921,20,1850,Electricity,kWh,8587.501
10,ENG-000010,20230330,90,639,Diesel,kWh,2009.081
11,ENG-000011,20190322,9,1731,Electricity,kWh,1067.383
12,ENG-000012,20210530,17,504,Natural Gas,kWh,7471.744
13,ENG-000013,20250603,72,1891,Natural Gas,kWh,4096.836
14,ENG-000014,20240611,77,1165,Diesel,kWh,1550.248
15,ENG-000015,20191209,14,1539,Diesel,kWh,7268.644
16,ENG-000016,20221018,30,22,Natural Gas,kWh,1104.159
17,ENG-000017,20230211,11,166,Electricity,kWh,3965.043
18,ENG-000018,20251001,1,284,Electricity,kWh,2838.808
19,ENG-000019,20231230,43,468,Natural Gas,kWh,3348.732
20,ENG-000020,20220524,69,760,Diesel,kWh,4659.055
21,ENG-000021,20220512,35,1246,Electricity,kWh,900.488
22,ENG-000022,20250916,67,720,Diesel,kWh,7347.86
23,ENG-000023,20240723,89,1087,Diesel,kWh,4692.387
24,ENG-000024,20200807,28,624,Electricity,kWh,3232.958
25,ENG-000025,20210609,2,1980,Diesel,kWh,3071.401
26,ENG-000026,20250207,12,1333,Electricity,kWh,8258.428
27,ENG-000027,20220707,67,1668,Electricity,kWh,6819.192
28,ENG-000028,20210124,85,600,Electricity,kWh,7387.872
29,ENG-000029,20221013,32,648,Diesel,kWh,3899.174
30,ENG-000030,20220119,12,145,Diesel,kWh,1528.143
31,ENG-000031,20250123,48,347,Electricity,kWh,5086.345
33,ENG-000033,20230103,56,736,Electricity,kWh,7794.547
34,ENG-000034,20210211,79,85,Natural Gas,kWh,9189.438
35,ENG-000035,20210102,66,1144,Natural Gas,kWh,7264.664
36,ENG-000036,20250118,22,1092,Electricity,kWh,5266.513
37,ENG-000037,20200831,60,421,Diesel,kWh,2327.203
38,ENG-000038,20190103,30,821,Natural Gas,kWh,8601.614
39,ENG-000039,20190208,71,1517,Electricity,kWh,2593.797
40,ENG-000040,20201025,74,1036,Electricity,kWh,5466.902
41,ENG-000041,20200427,91,1038,Diesel,kWh,1188.491
42,ENG-000042,20191106,11,1007,Electricity,kWh,6059.834
