financial_transaction_key,transaction_id,date_key,account_key,location_key,transaction_type,transaction_category,transaction_amount
1,FIN-000001,20200918,656,98,Cost,Materials,1179.61
2,FIN-000002,20241024,832,64,Cost,Materials,3865.45
3,FIN-000003,20220910,862,58,Cost,Materials,1598.37
4,FIN-000004,20220107,484,20,Revenue,Sales Revenue,1244.94
5,FIN-000005,20220709,344,70,Expense,Operating Expense,727.35
6,FIN-000006,20200917,795,29,Expense,Utilities,3485.71
7,FIN-000007,20210112,938,87,Expense,Payroll,1410.56
8,FIN-000008,20200124,782,8,Expense,Operating Expense,992.71
9,FIN-000009,20210309,921,55,Revenue,Sales Revenue,7481.51
10,FIN-000010,20210128,90,90,Expense,Payroll,1295.9
11,FIN-000011,20240719,5,1,Cost,Maintenance,7619.86
12,FIN-000012,20250925,981,71,Cost,Materials,3644.57
13,FIN-000013,20230808,827,75,Revenue,Sales Revenue,4681.78
14,FIN-000014,20190924,673,66,Revenue,Sales Revenue,4817.71
15,FIN-000015,20251123,614,24,Revenue,Sales Revenue,4979.52
16,FIN-000016,20220108,238,66,Cost,Maintenance,2418.82
17,FIN-000017,20251118,235,77,Revenue,Sales Revenue,4748.2
18,FIN-000018,20220826,594,94,Revenue,Sales Revenue,5937.81
19,FIN-000019,20210914,14,38,Cost,Maintenance,8972.16
20,FIN-000020,20190210,276,79,Expense,Utilities,3200.56
21,FIN-000021,20250610,702,58,Cost,Materials,6994.25
22,FIN-000022,20251225,381,88,Revenue,Sales Revenue,8577.89
23,FIN-000023,20230130,499,91,Revenue,Sales Revenue,8329.63
24,FIN-000024,20240810,898,69,Expense,Utilities,3126.2
25,FIN-000025,20210712,410,78,Cost,Maintenance,1647.18
26,FIN-000026,20210120,30,33,Cost,Materials,2773.75
27,FIN-000027,20250107,369,89,Revenue,Sales Revenue,4731.6
28,FIN-000028,20220403,419,32,Expense,Payroll,1201.64
29,FIN-000029,20190928,23,89,Revenue,Sales Revenue,1780.5
30,FIN-000030,20190207,745,34,Revenue,Sales Revenue,13429.28
31,FIN-000031,20231208,544,70,Cost,Materials,11171.76
32,FIN-000032,20201002,294,53,Expense,Payroll,4275.17
33,FIN-000033,20250218,454,69,Cost,Maintenance,2407.59
34,FIN-000034,20200818,863,75,Revenue,Sales Revenue,7953.82
35,FIN-000035,20200917,687,40,Revenue,Sales Revenue,4757.9
36,FIN-000036,20221224,966,11,Cost,Maintenance,5257.39
37,FIN-000037,20191030,66,52,Revenue,Sales Revenue,14245.66
38,FIN-000038,20240615,578,60,Expense,Operating Expense,2227.11
39,FIN-000039,20220326,716,12,Revenue,Sales Revenue,4624.24
40,FIN-000040,20220101,528,33,Revenue,Sales Revenue,10265.24
41,FIN-000041,20210623,774,24,Revenue,Sales Revenue,4127.33
42,FIN-000042,20240824,313,21,Revenue,Sales Revenue,2118.79
43,FIN-000043,20210915,148,39,Cost,Materials,1908.67
44,FIN-000044,20231129,85,95,Revenue,Sales Revenue,2603.88
