maintenance_key,maintenance_id,date_key,location_key,machine_key,employee_key,maintenance_type,maintenance_hours,downtime_hours,maintenance_cost
1,MNT-000001,20230416,67,1358,2631,Preventive,0.46,0.62,582.5
2,MNT-000002,20210722,18,1697,225,Preventive,4.23,4.35,2258.69
3,MNT-000003,20200517,13,345,1872,Inspection,1.31,0.65,679.52
4,MNT-000004,20240806,79,884,4557,Corrective,2.18,7.69,1688.75
5,MNT-000005,20190122,6,332,2395,Preventive,2.16,1.87,1126.21
6,MNT-000006,20240626,99,877,3409,Corrective,0.98,3.22,1565.65
7,MNT-000007,20240322,93,1743,4610,Corrective,1.68,5.51,1358.77
8,MNT-000008,20250812,44,1665,2271,Corrective,2.69,7.55,1572.43
9,MNT-000009,20240630,59,1027,4677,Preventive,2.22,2.68,1433.23
10,MNT-000010,20210205,86,365,2172,Corrective,1.93,3.89,1954.5
11,MNT-000011,20250414,59,1923,1321,Preventive,1.9,2.42,1926.48
12,MNT-000012,20250327,57,1900,4201,Inspection,2.31,1.06,1115.0
13,MNT-000013,20190517,60,275,3398,Corrective,1.25,3.26,1563.17
14,MNT-000014,20251210,98,732,2082,Corrective,3.03,9.24,2060.45
15,MNT-000015,20190507,55,15,4637,Preventive,3.76,4.08,2472.58
16,MNT-000016,20191008,9,1825,4622,Corrective,1.17,2.89,899.76
17,MNT-000017,20240801,46,977,1109,Preventive,1.25,0.98,599.73
18,MNT-000018,20190116,99,1332,1244,Inspection,0.84,0.48,510.35
19,MNT-000019,20250808,32,377,1916,Inspection,2.31,1.06,1950.77
20,MNT-000020,20241028,3,1341,658,Inspection,1.1,0.6,1077.69
21,MNT-000021,20250515,95,1981,3122,Preventive,6.41,7.55,3240.35
22,MNT-000022,20191221,36,22,744,Corrective,4.25,10.03,4547.54
23,MNT-000023,20200602,90,1515,3744,Preventive,1.79,1.44,1599.25
24,MNT-000024,20240120,73,932,4887,Corrective,2.97,9.76,4084.96
25,MNT-000025,20211220,27,544,1179,Preventive,1.47,1.14,882.79
26,MNT-000026,20211102,1,1742,4139,Preventive,4.38,3.48,3688.55
27,MNT-000027,20250109,41,1728,4828,Corrective,3.33,7.6,1947.08
28,MNT-000028,20190427,29,1714,2775,Inspection,0.57,0.28,569.79
29,MNT-000029,20201114,91,1528,3128,Preventive,2.66,2.58,1181.82
30,MNT-000030,20250222,84,1919,991,Preventive,2.04,2.03,1489.98
31,MNT-000031,20210407,81,1067,1511,Preventive,3.61,2.73,2238.4
32,MNT-000032,20240209,4,1137,1969,Preventive,2.41,2.05,2217.24
33,MNT-000033,20221013,53,1572,2753,Inspection,2.43,1.72,1239.68
34,MNT-000034,20240514,23,96,691,Preventive,0.63,0.58,524.86
35,MNT-000035,20200313,5,264,908,Preventive,1.4,1.08,771.88
36,MNT-000036,20240506,74,1002,4138,Corrective,0.91,2.23,736.37
37,MNT-000037,20200601,67,1358,2860,Preventive,0.99,0.73,1066.72
38,MNT-000038,20190125,21,1546,835,Preventive,0.78,0.81,633.41
39,MNT-000039,20241226,80,55,89,Preventive,7.08,7.91,4463.81
40,MNT-000040,20191022,34,897,1009,Corrective,2.43,5.08,1233.56
41,MNT-000041,20220625,68,389,1563,Inspection,1.02,0.68,1058.34
42,MNT-000042,20210516,69,508,1233,Corrective,4.08,12.79,4250.76
43,MNT-000043,20230707,42,1399,4932,Inspection,0.59,0.39,499.74
44,MNT-000044,20190325,23,514,363,Preventive,3.47,3.07,2335.27
45,MNT-000045,20251104,85,527,4704,Corrective,4.74,14.36,4618.87
46,MNT-000046,20241223,69,976,3883,Corrective,0.98,2.73,1192.11
47,MNT-000047,20190104,65,204,1743,Corrective,3.96,11.6,3273.09
48,MNT-000048,20191117,16,703,4417,Preventive,2.82,3.44,2732.04
49,MNT-000049,20201230,91,1915,2026,Preventive,3.52,4.47,1962.27
50,MNT-000050,20210122,1,296,3545,Corrective,1.75,3.76,1638.56
51,MNT-000051,20240610,14,1676,3393,Preventive,0.11,0.25,374.94
52,MNT-000052,20191208,80,233,1383,Preventive,0.94,0.96,819.39
53,MNT-000053,20190703,31,1221,3517,Corrective,0.91,3.12,1069.83
54,MNT-000054,20250713,7,627,1318,Inspection,3.48,2.22,1134.42
55,MNT-000055,20230216,94,132,3353,Corrective,0.86,3.02,790.73
56,MNT-000056,20250426,34,1431,515,Preventive,1.56,1.7,1492.89
57,MNT-000057,20190822,67,409,25,Preventive,2.62,3.08,2219.13
58,MNT-000058,20250730,10,507,3040,Preventive,1.45,1.54,830.97
59,MNT-000059,20211109,21,927,1018,Preventive,3.01,4.03,2694.94
60,MNT-000060,20191120,24,1142,644,Preventive,2.45,2.96,2379.83
61,MNT-000061,20230827,40,1196,4763,Inspection,1.49,0.64,1137.8
62,MNT-000062,20250129,79,1790,627,Preventive,1.62,1.97,762.24
63,MNT-000063,20251016,16,705,2735,Preventive,1.04,1.22,956.12
64,MNT-000064,20200329,58,637,3013,Inspection,0.33,0.25,374.19
65,MNT-000065,20250629,95,487,3912,Preventive,4.98,5.43,2173.6
66,MNT-000066,20211215,35,693,2836,Preventive,2.62,2.84,1012.39
67,MNT-000067,20251002,54,1506,3376,Corrective,3.44,11.58,1898.55
68,MNT-000068,20230714,45,1913,2675,Preventive,2.57,2.45,1827.78
69,MNT-000069,20250630,50,907,3781,Preventive,3.25,2.78,1744.01
70,MNT-000070,20200625,55,728,1454,Preventive,3.03,3.74,2127.84
71,MNT-000071,20190908,77,1520,22,Corrective,0.24,0.85,503.79
72,MNT-000072,20210607,65,221,982,Preventive,1.2,1.06,886.69
73,MNT-000073,20220107,100,243,4527,Preventive,1.15,1.05,686.41
74,MNT-000074,20190408,34,1828,4370,Corrective,2.87,10.22,3694.23
75,MNT-000075,20220118,31,791,3666,Corrective,5.24,18.02,6688.04
76,MNT-000076,20240710,39,206,3511,Corrective,1.53,3.64,1251.77
77,MNT-000077,20240302,38,965,4160,Corrective,1.77,3.47,1618.72
