production_key,production_id,date_key,product_key,unit_of_measure,location_key,machine_key,employee_key,planned_quantity,produced_quantity,defect_quantity,production_hours
1,PRD-000001,20190905,959,Each,96,1278,726,134,124,4,3.45
2,PRD-000002,20241128,2338,Each,83,1201,4124,227,220,15,3.61
3,PRD-000003,20190809,1971,Each,68,724,1452,355,332,3,9.18
4,PRD-000004,20220927,4307,Each,80,1129,2369,347,347,42,6.51
5,PRD-000005,20241006,1848,Each,60,422,4663,310,273,19,5.87
6,PRD-000006,20190422,4795,Each,24,928,1225,265,243,5,4.35
7,PRD-000007,20251010,1968,Each,91,229,4774,510,510,38,9.15
8,PRD-000008,20190417,1687,Each,53,1570,1094,258,215,7,4.86
9,PRD-000009,20211208,158,Each,88,519,4470,326,321,19,6.58
10,PRD-000010,20190506,1489,Each,83,1961,4176,102,102,9,2.88
11,PRD-000011,20230720,3930,Each,47,735,1253,328,326,19,7.7
12,PRD-000012,20200527,2970,Each,8,307,4068,191,178,15,3.63
13,PRD-000013,20201102,2098,Each,96,1921,2296,268,245,8,5.04
14,PRD-000014,20241207,736,Each,14,51,1212,260,229,10,5.19
15,PRD-000015,20230506,330,Each,86,1705,2848,365,365,10,6.2
16,PRD-000016,20200508,1449,Each,24,1740,4803,65,61,1,1.28
17,PRD-000017,20200308,1095,Each,16,344,1241,347,305,16,7.61
18,PRD-000018,20230621,648,Each,35,1378,4273,484,438,15,11.7
19,PRD-000019,20240314,4659,Each,74,594,1440,323,307,7,5.25
20,PRD-000020,20240715,4932,Each,17,1329,4433,419,396,19,9.14
21,PRD-000021,20250213,1719,Each,95,267,1831,418,382,8,11.59
22,PRD-000022,20210511,3908,Each,41,291,3913,409,375,23,8.26
23,PRD-000023,20230829,3855,Each,8,845,2272,434,404,5,6.9
24,PRD-000024,20190818,1616,Each,89,1963,2427,195,180,3,3.8
25,PRD-000025,20251021,4654,Each,8,1797,579,253,252,6,4.61
26,PRD-000026,20210520,1900,Each,58,565,1108,104,95,5,1.64
27,PRD-000027,20190325,5,Each,86,1200,4962,306,268,11,6.92
28,PRD-000028,20250827,3848,Each,91,1745,4695,293,293,34,5.8
29,PRD-000029,20231209,1081,Each,2,1523,2747,366,321,17,6.36
30,PRD-000030,20250502,780,Each,100,1509,1371,370,350,37,5.77
31,PRD-000031,20240709,577,Each,7,1166,4864,316,289,12,7.03
32,PRD-000032,20220307,3964,Each,73,824,572,327,309,6,6.35
33,PRD-000033,20230902,1581,Each,70,184,2664,303,289,13,4.94
34,PRD-000034,20240305,1672,Each,12,320,1021,290,274,14,4.95
35,PRD-000035,20250121,4391,Each,61,1629,3138,421,411,17,8.94
36,PRD-000036,20190120,4588,Each,15,1508,4206,231,201,11,4.53
37,PRD-000037,20251116,3544,Each,44,67,105,369,330,20,5.87
38,PRD-000038,20190526,2827,Each,46,992,3208,288,247,5,4.45
39,PRD-000039,20200411,4652,Each,36,1644,3399,206,190,1,3.46
40,PRD-000040,20251104,4062,Each,73,1386,2363,315,296,21,6.68
41,PRD-000041,20200323,3348,Each,70,1285,961,309,309,24,5.66
42,PRD-000042,20230420,4126,Each,38,406,4263,304,273,41,4.73
43,PRD-000043,20211017,3642,Each,16,705,16,222,206,9,3.49
44,PRD-000044,20210219,926,Each,70,1826,201,209,204,13,3.52
45,PRD-000045,20220222,1025,Each,75,187,3684,283,280,5,4.82
46,PRD-000046,20230124,2010,Each,19,1115,4574,241,221,22,3.76
47,PRD-000047,20210520,4839,Each,98,1840,2309,148,148,22,3.37
48,PRD-000048,20190910,1212,Each,79,235,3113,127,123,9,2.26
49,PRD-000049,20190119,4766,Each,40,227,4417,183,180,0,2.95
50,PRD-000050,20220923,271,Each,65,221,3441,285,272,16,6.06
51,PRD-000051,20230315,1140,Each,76,1584,527,173,158,13,3.96
52,PRD-000052,20220420,1460,Each,29,197,1347,198,198,9,5.29
53,PRD-000053,20190223,2365,Each,66,1143,3374,178,170,9,3.64
54,PRD-000054,20220310,1816,Each,3,1746,2048,186,174,6,3.71
55,PRD-000055,20210623,2313,Each,98,753,3713,225,208,5,6.16
56,PRD-000056,20200112,4187,Each,92,1243,2949,201,187,28,3.61
57,PRD-000057,20240803,4652,Each,8,1408,1381,477,477,0,12.0
58,PRD-000058,20220927,2317,Each,82,1769,766,277,277,7,6.54
59,PRD-000059,20220718,160,Each,57,1124,810,227,197,15,5.4
60,PRD-000060,20250815,4925,Each,23,481,4682,277,277,8,7.04
61,PRD-000061,20240131,4865,Each,29,1404,1512,257,242,9,4.55
62,PRD-000062,20191113,105,Each,21,556,487,227,190,12,6.14
63,PRD-000063,20230720,4898,Each,88,160,3537,179,161,11,4.07
64,PRD-000064,20220809,3316,Each,56,77,1640,305,276,4,5.96
65,PRD-000065,20210711,2600,Each,34,83,1462,208,183,2,3.92
66,PRD-000066,20211007,1635,Each,68,1442,4088,132,124,10,2.57
67,PRD-000067,20250613,1687,Each,65,1020,451,286,253,3,4.93
68,PRD-000068,20220206,2137,Each,78,583,3983,271,266,15,5.24
69,PRD-000069,20220904,55,Each,75,109,4503,299,282,3,7.2
70,PRD-000070,20221023,1278,Each,73,1499,3756,339,301,6,7.09
71,PRD-000071,20250617,1178,Each,59,1027,1779,351,332,2,6.82
72,PRD-000072,20250526,1774,Each,62,1524,3780,313,288,27,6.92
73,PRD-000073,20240225,887,Each,68,963,2619,396,348,19,7.74
74,PRD-000074,20220722,3649,Each,75,1313,4645,387,339,11,7.65
75,PRD-000075,20190809,3677,Each,33,636,3393,245,240,36,5.24
76,PRD-000076,20240908,2637,Each,85,1768,82,327,297,10,9.02
77,PRD-000077,20220906,4223,Each,25,1199,1686,411,368,17,8.42
78,PRD-000078,20251205,1561,Each,63,533,2619,338,318,4,7.59
79,PRD-000079,20190606,4074,Each,39,131,169,273,248,23,4.81
80,PRD-000080,20230531,2401,Each,77,182,1285,161,152,3,2.9
81,PRD-000081,20200113,2897,Each,29,856,362,239,236,13,4.63
82,PRD-000082,20210829,3375,Each,21,194,2543,258,225,16,6.53
83,PRD-000083,20200329,3178,Each,21,1384,4709,82,81,1,1.36
84,PRD-000084,20241225,3800,Each,31,791,72,293,274,5,6.51
85,PRD-000085,20200523,4775,Each,23,1147,1276,116,103,5,3.05
86,PRD-000086,20221109,1191,Each,95,1373,5000,462,458,45,12.0
87,PRD-000087,20201021,1778,Each,25,418,5000,227,214,14,6.36
88,PRD-000088,20250630,3028,Each,96,1315,47,300,291,2,5.86
89,PRD-000089,20240123,594,Each,78,697,1098,288,277,10,4.49
90,PRD-000090,20250925,627,Each,30,917,2131,392,369,28,8.07
91,PRD-000091,20220821,4481,Each,98,1094,3422,208,191,19,5.41
92,PRD-000092,20251218,946,Each,16,571,2484,445,434,4,8.66
93,PRD-000093,20210413,1173,Each,84,1265,4820,266,246,10,5.64
94,PRD-000094,20230420,1785,Each,2,152,3833,332,305,7,5.99
95,PRD-000095,20200529,3546,Each,77,1517,4684,211,194,0,3.64
96,PRD-000096,20200409,3208,Each,30,1843,1219,246,238,10,5.49
97,PRD-000097,20200902,4385,Each,47,486,597,250,219,19,5.14
98,PRD-000098,20190307,4361,Each,38,1663,2166,197,193,5,4.84
99,PRD-000099,20201231,2081,Each,55,1400,2621,240,215,9,5.13
100,PRD-000100,20201226,2946,Each,64,1402,4040,107,94,3,1.83
101,PRD-000101,20240529,1812,Each,31,862,4223,295,263,12,7.68
102,PRD-000102,20190921,2512,Each,20,1423,2577,222,197,2,3.43
103,PRD-000103,20240512,4554,Each,97,666,4441,312,306,3,8.51
104,PRD-000104,20220704,1323,Each,78,697,2977,300,299,24,7.5
105,PRD-000105,20230509,4175,Each,80,1365,3156,310,301,6,4.97
106,PRD-000106,20240413,150,Each,58,2,1082,279,279,12,5.51
107,PRD-000107,20230423,964,Each,62,1845,4651,271,249,9,7.26
108,PRD-000108,20230719,1476,Each,59,664,2700,470,439,6,9.38
