product_id,supplier_id,product_name,category,unit_cost,unit_price,status
PROD-0000001,SUP-000940,Raw Materials Product 00001,Raw Materials,69.51,105.53,Active
PROD-0000002,SUP-000526,Raw Materials Product 00002,Raw Materials,30.39,50.33,Active
PROD-0000003,SUP-000869,Finished Goods Product 00003,Finished Goods,8.35,17.49,Active
PROD-0000004,SUP-000562,Finished Goods Product 00004,Finished Goods,38.39,74.3,Inactive
PROD-0000005,SUP-000823,Packaging Product 00005,Packaging,17.34,23.05,Active
PROD-0000006,SUP-000563,Industrial Parts Product 00006,Industrial Parts,96.58,238.82,Active
PROD-0000007,SUP-000855,Finished Goods Product 00007,Finished Goods,8.2,17.08,Active
PROD-0000008,SUP-000874,Finished Goods Product 00008,Finished Goods,32.58,62.22,Active
PROD-0000009,SUP-000880,Finished Goods Product 00009,Finished Goods,9.82,12.75,Active
PROD-0000010,SUP-000257,Industrial Parts Product 00010,Industrial Parts,35.66,84.35,Active
PROD-0000011,SUP-000377,Components Product 00011,Components,13.62,28.82,Active
PROD-0000012,SUP-000425,Industrial Parts Product 00012,Industrial Parts,29.33,65.65,Active
PROD-0000013,SUP-000595,Raw Materials Product 00013,Raw Materials,21.1,31.51,Active
PROD-0000014,SUP-000188,Components Product 00014,Components,21.26,29.42,Active
PROD-0000015,SUP-000213,Raw Materials Product 00015,Raw Materials,36.67,82.38,Active
PROD-0000016,SUP-000768,Components Product 00016,Components,59.77,91.34,Active
PROD-0000017,SUP-000172,Components Product 00017,Components,36.66,55.54,Active
PROD-0000018,SUP-000170,Industrial Parts Product 00018,Industrial Parts,29.61,57.52,Active
PROD-0000019,SUP-000828,Finished Goods Product 00019,Finished Goods,86.52,174.08,Active
PROD-0000020,SUP-000087,Components Product 00020,Components,16.95,33.68,Active
PROD-0000021,SUP-000452,Components Product 00021,Components,51.91,120.01,Active
PROD-0000022,SUP-000437,Finished Goods Product 00022,Finished Goods,25.71,58.44,Active
PROD-0000023,SUP-000818,Packaging Product 00023,Packaging,193.56,483.44,Active
PROD-0000024,SUP-000462,Components Product 00024,Components,17.28,34.77,Inactive
PROD-0000025,SUP-000931,Finished Goods Product 00025,Finished Goods,14.57,26.75,Active
PROD-0000026,SUP-000408,Finished Goods Product 00026,Finished Goods,30.23,45.65,Active
PROD-0000028,SUP-000382,Industrial Parts Product 00028,Industrial Parts,38.13,68.02,Active
PROD-0000029,SUP-000020,Components Product 00029,Components,33.48,41.29,Active
PROD-0000030,SUP-000118,Industrial Parts Product 00030,Industrial Parts,30.71,41.17,Active
PROD-0000031,SUP-000851,Raw Materials Product 00031,Raw Materials,97.05,167.29,Active
PROD-0000032,SUP-000049,Components Product 00032,Components,96.87,212.43,Active
PROD-0000033,SUP-000088,Raw Materials Product 00033,Raw Materials,34.04,61.34,Active
PROD-0000034,SUP-000770,Finished Goods Product 00034,Finished Goods,30.48,41.33,Inactive
PROD-0000035,SUP-000804,Components Product 00035,Components,36.77,85.66,Active
PROD-0000036,SUP-000853,Industrial Parts Product 00036,Industrial Parts,47.77,110.43,Active
PROD-0000037,SUP-000128,Finished Goods Product 00037,Finished Goods,8.74,19.32,Active
PROD-0000038,SUP-000225,Finished Goods Product 00038,Finished Goods,99.49,216.1,Active
PROD-0000039,SUP-000511,Finished Goods Product 00039,Finished Goods,68.38,163.97,Active
PROD-0000040,SUP-000214,Packaging Product 00040,Packaging,25.61,51.14,Active
PROD-0000041,SUP-000235,Raw Materials Product 00041,Raw Materials,18.54,31.76,Active
PROD-0000042,SUP-000692,Finished Goods Product 00042,Finished Goods,12.21,29.16,Active
PROD-0000043,SUP-000854,Raw Materials Product 00043,Raw Materials,51.34,83.01,Active
PROD-0000044,SUP-000326,Industrial Parts Product 00044,Industrial Parts,147.5,252.98,Active
PROD-0000045,SUP-000711,Packaging Product 00045,Packaging,4.29,9.29,Active
PROD-0000046,SUP-000357,Finished Goods Product 00046,Finished Goods,31.44,65.65,Active
PROD-0000047,SUP-000308,Industrial Parts Product 00047,Industrial Parts,8.25,10.91,Active
PROD-0000048,SUP-000171,Raw Materials Product 00048,Raw Materials,22.73,37.35,Active
PROD-0000049,SUP-000081,Packaging Product 00049,Packaging,23.26,51.71,Active
PROD-0000050,SUP-000658,Raw Materials Product 00050,Raw Materials,100.16,190.87,Active
