machine_key,machine_id,location_key,machine_name,machine_type,installation_date,status
1,MCH-000001,70,Atlas Machine 1,CNC Machine,2018-10-10,Operational
2,MCH-000002,79,Atlas Machine 2,Packaging Machine,2017-03-06,Operational
3,MCH-000003,66,Atlas Machine 3,CNC Machine,2018-12-22,Inactive
4,MCH-000004,81,Atlas Machine 4,Press Machine,2018-10-27,Operational
5,MCH-000005,58,Atlas Machine 5,CNC Machine,2016-10-25,Operational
6,MCH-000006,64,Atlas Machine 6,Cutting Machine,2016-09-13,Operational
7,MCH-000007,3,Atlas Machine 7,CNC Machine,2018-02-22,Operational
8,MCH-000008,79,Atlas Machine 8,Cutting Machine,2016-05-14,Operational
9,MCH-000009,45,Atlas Machine 9,Press Machine,2016-10-28,Operational
10,MCH-000010,36,Atlas Machine 10,CNC Machine,2018-11-07,Operational
11,MCH-000011,77,Atlas Machine 11,CNC Machine,2018-07-21,Operational
12,MCH-000012,18,Atlas Machine 12,Cutting Machine,2017-01-30,Operational
13,MCH-000013,99,Atlas Machine 13,Packaging Machine,2016-04-10,Operational
14,MCH-000014,69,Atlas Machine 14,Assembly Machine,2016-08-08,Operational
15,MCH-000015,50,Atlas Machine 15,Cutting Machine,2018-04-07,Operational
16,MCH-000016,61,Atlas Machine 16,Press Machine,2016-07-19,Operational
17,MCH-000017,88,Atlas Machine 17,Packaging Machine,2017-06-24,Operational
18,MCH-000018,93,Atlas Machine 18,CNC Machine,2016-04-10,Operational
19,MCH-000019,50,Atlas Machine 19,Cutting Machine,2018-09-23,Operational
20,MCH-000020,28,Atlas Machine 20,Cutting Machine,2016-08-11,Operational
21,MCH-000021,43,Atlas Machine 21,CNC Machine,2016-12-10,Operational
22,MCH-000022,52,Atlas Machine 22,Assembly Machine,2018-01-28,Operational
23,MCH-000023,17,Atlas Machine 23,Packaging Machine,2018-08-08,Operational
24,MCH-000024,20,Atlas Machine 24,Assembly Machine,2018-12-24,Operational
25,MCH-000025,86,Atlas Machine 25,CNC Machine,2016-01-19,Operational
26,MCH-000026,79,Atlas Machine 26,CNC Machine,2017-08-21,Inactive
27,MCH-000027,6,Atlas Machine 27,Cutting Machine,2016-09-25,Operational
28,MCH-000028,51,Atlas Machine 28,Packaging Machine,2017-03-05,Operational
29,MCH-000029,92,Atlas Machine 29,Cutting Machine,2018-04-23,Maintenance
30,MCH-000030,77,Atlas Machine 30,Assembly Machine,2016-01-10,Operational
31,MCH-000031,36,Atlas Machine 31,CNC Machine,2018-04-03,Operational
32,MCH-000032,95,Atlas Machine 32,Packaging Machine,2016-06-22,Inactive
33,MCH-000033,62,Atlas Machine 33,Press Machine,2018-05-31,Operational
34,MCH-000034,5,Atlas Machine 34,Press Machine,2017-02-15,Operational
35,MCH-000035,87,Atlas Machine 35,CNC Machine,2016-03-05,Operational
36,MCH-000036,12,Atlas Machine 36,Assembly Machine,2016-03-27,Operational
37,MCH-000037,5,Atlas Machine 37,Press Machine,2016-11-29,Operational
38,MCH-000038,96,Atlas Machine 38,Cutting Machine,2016-02-18,Operational
39,MCH-000039,14,Atlas Machine 39,CNC Machine,2018-07-02,Operational
40,MCH-000040,41,Atlas Machine 40,Assembly Machine,2016-02-14,Operational
41,MCH-000041,18,Atlas Machine 41,Packaging Machine,2016-02-13,Maintenance
42,MCH-000042,46,Atlas Machine 42,Press Machine,2018-11-11,Operational
43,MCH-000043,59,Atlas Machine 43,Packaging Machine,2016-06-13,Operational
44,MCH-000044,73,Atlas Machine 44,Press Machine,2018-05-09,Inactive
45,MCH-000045,25,Atlas Machine 45,Assembly Machine,2018-08-03,Maintenance
46,MCH-000046,68,Atlas Machine 46,Assembly Machine,2017-01-19,Operational
47,MCH-000047,60,Atlas Machine 47,Packaging Machine,2018-10-26,Operational
48,MCH-000048,39,Atlas Machine 48,Cutting Machine,2018-04-28,Operational
49,MCH-000049,81,Atlas Machine 49,Press Machine,2017-05-14,Operational
50,MCH-000050,58,Atlas Machine 50,Assembly Machine,2016-12-08,Operational
51,MCH-000051,25,Atlas Machine 51,Assembly Machine,2018-08-25,Operational
52,MCH-000052,24,Atlas Machine 52,Packaging Machine,2016-04-25,Operational
53,MCH-000053,19,Atlas Machine 53,CNC Machine,2018-06-24,Operational
54,MCH-000054,97,Atlas Machine 54,Press Machine,2018-12-09,Operational
55,MCH-000055,2,Atlas Machine 55,Cutting Machine,2018-07-07,Operational
56,MCH-000056,60,Atlas Machine 56,Assembly Machine,2016-11-19,Operational
57,MCH-000057,71,Atlas Machine 57,CNC Machine,2017-03-07,Operational
58,MCH-000058,45,Atlas Machine 58,Packaging Machine,2018-05-30,Operational
59,MCH-000059,53,Atlas Machine 59,CNC Machine,2016-01-26,Maintenance
60,MCH-000060,85,Atlas Machine 60,Press Machine,2018-07-11,Operational
61,MCH-000061,16,Atlas Machine 61,Packaging Machine,2018-11-04,Maintenance
62,MCH-000062,67,Atlas Machine 62,Packaging Machine,2017-11-20,Operational
63,MCH-000063,5,Atlas Machine 63,Cutting Machine,2017-07-03,Operational
64,MCH-000064,66,Atlas Machine 64,Assembly Machine,2016-10-08,Operational
65,MCH-000065,54,Atlas Machine 65,Assembly Machine,2017-11-09,Operational
66,MCH-000066,48,Atlas Machine 66,Assembly Machine,2018-05-17,Operational
67,MCH-000067,92,Atlas Machine 67,Press Machine,2018-07-20,Maintenance
68,MCH-000068,77,Atlas Machine 68,Cutting Machine,2016-03-04,Operational
69,MCH-000069,56,Atlas Machine 69,Cutting Machine,2017-02-25,Operational
70,MCH-000070,14,Atlas Machine 70,CNC Machine,2016-06-02,Operational
71,MCH-000071,68,Atlas Machine 71,CNC Machine,2018-09-14,Operational
72,MCH-000072,56,Atlas Machine 72,Assembly Machine,2017-04-28,Operational
73,MCH-000073,89,Atlas Machine 73,Packaging Machine,2018-11-11,Operational
74,MCH-000074,69,Atlas Machine 74,Assembly Machine,2017-04-29,Operational
75,MCH-000075,10,Atlas Machine 75,Press Machine,2017-12-08,Operational
76,MCH-000076,3,Atlas Machine 76,Press Machine,2016-02-21,Operational
77,MCH-000077,58,Atlas Machine 77,Press Machine,2017-08-18,Operational
78,MCH-000078,37,Atlas Machine 78,Cutting Machine,2017-08-25,Operational
79,MCH-000079,27,Atlas Machine 79,Press Machine,2016-08-31,Operational
80,MCH-000080,8,Atlas Machine 80,Press Machine,2016-10-22,Operational
81,MCH-000081,59,Atlas Machine 81,CNC Machine,2018-07-09,Maintenance
82,MCH-000082,41,Atlas Machine 82,Press Machine,2017-12-07,Operational
83,MCH-000083,60,Atlas Machine 83,Assembly Machine,2017-09-10,Operational
84,MCH-000084,90,Atlas Machine 84,Cutting Machine,2018-11-01,Operational
85,MCH-000085,66,Atlas Machine 85,Press Machine,2016-04-13,Operational
86,MCH-000086,2,Atlas Machine 86,Press Machine,2018-11-28,Operational
87,MCH-000087,33,Atlas Machine 87,Cutting Machine,2018-09-04,Inactive
88,MCH-000088,94,Atlas Machine 88,Press Machine,2017-03-03,Inactive
89,MCH-000089,28,Atlas Machine 89,CNC Machine,2017-06-11,Operational
90,MCH-000090,89,Atlas Machine 90,Cutting Machine,2016-09-08,Operational
91,MCH-000091,42,Atlas Machine 91,CNC Machine,2018-10-04,Operational
92,MCH-000092,46,Atlas Machine 92,Assembly Machine,2018-06-29,Operational
93,MCH-000093,6,Atlas Machine 93,Cutting Machine,2017-07-13,Operational
94,MCH-000094,15,Atlas Machine 94,Packaging Machine,2017-08-25,Operational
95,MCH-000095,4,Atlas Machine 95,Cutting Machine,2017-11-26,Operational
96,MCH-000096,62,Atlas Machine 96,Packaging Machine,2018-05-22,Inactive
97,MCH-000097,42,Atlas Machine 97,Assembly Machine,2017-07-03,Operational
98,MCH-000098,37,Atlas Machine 98,Press Machine,2018-08-30,Operational
99,MCH-000099,87,Atlas Machine 99,Press Machine,2018-10-30,Operational
