emissions_key,emissions_id,date_key,location_key,emissions_category,co2_emissions
1,EMS-000001,20200513,45,Purchased Energy,3144.677
2,EMS-000002,20211113,68,Direct Emissions,1781.368
3,EMS-000003,20251014,21,Direct Emissions,3482.89
4,EMS-000004,20230525,14,Purchased Energy,2166.515
5,EMS-000005,20200507,66,Direct Emissions,4853.07
6,EMS-000006,20230119,13,Purchased Energy,1986.674
7,EMS-000007,20191003,80,Purchased Energy,619.079
8,EMS-000008,20190209,35,Direct Emissions,4575.412
9,EMS-000009,20190403,62,Direct Emissions,1062.385
10,EMS-000010,20230325,20,Direct Emissions,4727.566
11,EMS-000011,20231208,80,Transportation,3588.639
12,EMS-000012,20211116,24,Direct Emissions,4955.072
13,EMS-000013,20230829,56,Purchased Energy,4534.673
14,EMS-000014,20220503,6,Direct Emissions,4272.889
15,EMS-000015,20231123,100,Direct Emissions,4898.6
16,EMS-000016,20230807,8,Transportation,45.974
17,EMS-000017,20200821,50,Direct Emissions,4002.064
18,EMS-000018,20240421,29,Transportation,1783.207
19,EMS-000019,20200319,28,Direct Emissions,2188.069
20,EMS-000020,20210814,8,Purchased Energy,2243.31
21,EMS-000021,20220327,91,Direct Emissions,3216.896
22,EMS-000022,20250816,54,Purchased Energy,1065.861
23,EMS-000023,20250228,3,Transportation,1905.165
24,EMS-000024,20250212,63,Purchased Energy,517.405
25,EMS-000025,20240227,89,Purchased Energy,3684.135
26,EMS-000026,20201101,49,Direct Emissions,2421.87
27,EMS-000027,20220606,25,Purchased Energy,2237.402
28,EMS-000028,20251216,77,Transportation,1103.801
29,EMS-000029,20250630,75,Transportation,1727.055
30,EMS-000030,20230425,47,Purchased Energy,3079.514
31,EMS-000031,20200815,57,Purchased Energy,2624.231
32,EMS-000032,20240519,41,Direct Emissions,3744.591
33,EMS-000033,20240713,59,Purchased Energy,306.022
34,EMS-000034,20220625,35,Transportation,2923.843
35,EMS-000035,20210316,95,Purchased Energy,3670.713
36,EMS-000036,20190205,40,Transportation,2447.718
37,EMS-000037,20220218,88,Transportation,4597.341
38,EMS-000038,20221231,29,Purchased Energy,4081.06
39,EMS-000039,20230413,60,Transportation,2123.637
40,EMS-000040,20221202,89,Purchased Energy,1575.699
41,EMS-000041,20220806,81,Direct Emissions,4146.132
42,EMS-000042,20250924,20,Purchased Energy,1953.427
43,EMS-000043,20190512,17,Direct Emissions,593.625
44,EMS-000044,20220217,89,Transportation,749.579
45,EMS-000045,20200722,100,Direct Emissions,4558.253
46,EMS-000046,20210910,74,Transportation,1330.096
47,EMS-000047,20210922,46,Direct Emissions,4262.404
48,EMS-000048,20240710,20,Direct Emissions,3111.477
49,EMS-000049,20210201,27,Transportation,3958.143
50,EMS-000050,20230320,99,Transportation,4137.44
51,EMS-000051,20190225,68,Purchased Energy,3498.928
52,EMS-000052,20211107,19,Direct Emissions,3344.243
53,EMS-000053,20251127,35,Direct Emissions,2534.456
54,EMS-000054,20200728,95,Purchased Energy,3133.974
55,EMS-000055,20250510,42,Purchased Energy,229.231
56,EMS-000056,20200805,47,Direct Emissions,3175.14
57,EMS-000057,20200501,18,Purchased Energy,3298.51
58,EMS-000058,20200824,36,Transportation,2893.449
59,EMS-000059,20210506,33,Direct Emissions,1590.497
60,EMS-000060,20230303,21,Purchased Energy,3278.945
61,EMS-000061,20200115,78,Direct Emissions,2184.517
62,EMS-000062,20250211,1,Direct Emissions,2614.779
63,EMS-000063,20250615,57,Transportation,1577.376
64,EMS-000064,20230814,91,Direct Emissions,1244.487
65,EMS-000065,20230605,33,Direct Emissions,931.232
66,EMS-000066,20251128,82,Direct Emissions,2879.403
67,EMS-000067,20191130,90,Transportation,1646.011
68,EMS-000068,20220809,5,Direct Emissions,4887.115
69,EMS-000069,20250607,72,Direct Emissions,4880.775
70,EMS-000070,20200520,71,Purchased Energy,3020.795
71,EMS-000071,20190621,17,Direct Emissions,1764.459
72,EMS-000072,20211201,79,Direct Emissions,3109.077
73,EMS-000073,20231014,87,Purchased Energy,956.491
74,EMS-000074,20230211,52,Purchased Energy,4069.285
75,EMS-000075,20200721,25,Purchased Energy,519.968
76,EMS-000076,20220624,67,Direct Emissions,2653.352
77,EMS-000077,20240110,57,Direct Emissions,4408.375
78,EMS-000078,20210426,47,Transportation,4693.016
79,EMS-000079,20240331,64,Purchased Energy,3184.024
80,EMS-000080,20220715,30,Transportation,1918.767
81,EMS-000081,20251102,49,Transportation,3988.938
82,EMS-000082,20231022,74,Direct Emissions,1055.455
83,EMS-000083,20201203,45,Transportation,4125.645
84,EMS-000084,20211116,73,Transportation,4292.34
85,EMS-000085,20220523,11,Purchased Energy,1242.467
86,EMS-000086,20200728,48,Direct Emissions,2766.985
87,EMS-000087,20220123,22,Purchased Energy,2465.442
88,EMS-000088,20200508,12,Direct Emissions,1504.109
89,EMS-000089,20230429,56,Transportation,2192.482
90,EMS-000090,20210324,38,Transportation,399.978
91,EMS-000091,20200901,46,Purchased Energy,3024.679
92,EMS-000092,20250426,46,Direct Emissions,3541.376
93,EMS-000093,20220927,77,Direct Emissions,2916.866
94,EMS-000094,20230418,13,Transportation,111.772
95,EMS-000095,20250312,54,Transportation,4158.61
96,EMS-000096,20200826,52,Purchased Energy,4101.546
97,EMS-000097,20220810,98,Purchased Energy,4415.132
98,EMS-000098,20250829,93,Direct Emissions,3839.724
99,EMS-000099,20190303,34,Transportation,2501.238
100,EMS-000100,20210119,93,Purchased Energy,645.629
101,EMS-000101,20210125,17,Direct Emissions,2551.843
102,EMS-000102,20250620,27,Purchased Energy,2384.222
103,EMS-000103,20221020,88,Transportation,3103.63
104,EMS-000104,20230608,28,Purchased Energy,528.334
105,EMS-000105,20221128,11,Purchased Energy,188.647
106,EMS-000106,20200723,65,Transportation,4845.17
107,EMS-000107,20220910,41,Transportation,3698.089
108,EMS-000108,20220215,79,Transportation,4200.592
109,EMS-000109,20220112,15,Direct Emissions,3498.548
110,EMS-000110,20200818,80,Purchased Energy,4457.533
111,EMS-000111,20210204,43,Transportation,179.271
112,EMS-000112,20250705,29,Direct Emissions,2503.783
113,EMS-000113,20201103,38,Purchased Energy,4168.359
114,EMS-000114,20200422,6,Purchased Energy,2745.816
115,EMS-000115,20250325,11,Transportation,168.675
116,EMS-000116,20231029,71,Transportation,4234.287
117,EMS-000117,20220524,81,Transportation,2528.35
118,EMS-000118,20200505,96,Purchased Energy,886.991
119,EMS-000119,20250113,91,Direct Emissions,3609.325
120,EMS-000120,20210206,71,Direct Emissions,4040.617
121,EMS-000121,20241016,65,Transportation,4165.004
122,EMS-000122,20210912,80,Purchased Energy,3914.213
123,EMS-000123,20250604,37,Transportation,1029.101
124,EMS-000124,20200331,14,Transportation,3454.333
125,EMS-000125,20221218,73,Transportation,2196.298
126,EMS-000126,20220801,7,Direct Emissions,352.186
127,EMS-000127,20240911,99,Direct Emissions,4832.582
128,EMS-000128,20240630,96,Direct Emissions,1113.437
129,EMS-000129,20210418,45,Transportation,1438.752
130,EMS-000130,20211205,37,Transportation,3075.503
131,EMS-000131,20200903,58,Purchased Energy,2174.631
132,EMS-000132,20241113,71,Direct Emissions,2506.516
133,EMS-000133,20240716,82,Transportation,3927.639
134,EMS-000134,20240716,21,Transportation,298.535
