machine_key,machine_id,location_key,machine_name,machine_type,installation_date,status
1,MCH-000001,39,Automated Assembly Cell 001,Assembly Machine,2016-06-30,Operational
2,MCH-000002,58,Laser Cutting System 001,Cutting Machine,2017-02-04,Operational
3,MCH-000003,68,Servo Assembly Station 002,Assembly Machine,2018-04-19,Operational
4,MCH-000004,71,Robotic Assembly Cell 003,Assembly Machine,2016-01-05,Operational
5,MCH-000005,61,Precision Slitting Machine 002,Cutting Machine,2017-07-25,Operational
6,MCH-000006,10,Precision Assembly Line 004,Assembly Machine,2017-03-24,Operational
7,MCH-000007,84,Hydraulic Press 001,Press Machine,2018-02-24,Operational
8,MCH-000008,54,Industrial Sawing Center 003,Cutting Machine,2016-12-03,Operational
9,MCH-000009,45,Automated Assembly Cell 005,Assembly Machine,2016-01-11,Operational
10,MCH-000010,17,Automated Carton Packer 001,Packaging Machine,2016-11-08,Operational
11,MCH-000011,71,CNC Vertical Machining Center 001,CNC Machine,2016-09-12,Operational
12,MCH-000012,74,CNC Horizontal Machining Center 002,CNC Machine,2017-12-10,Operational
13,MCH-000013,78,CNC Plasma Cutting System 004,Cutting Machine,2016-01-23,Operational
14,MCH-000014,81,High-Speed Labeling Machine 002,Packaging Machine,2017-10-03,Operational
15,MCH-000015,55,Mechanical Stamping Press 002,Press Machine,2018-08-20,Operational
16,MCH-000016,31,Servo Assembly Station 006,Assembly Machine,2016-03-19,Operational
17,MCH-000017,40,Robotic Assembly Cell 007,Assembly Machine,2018-03-17,Operational
18,MCH-000018,99,Precision Forming Press 003,Press Machine,2018-03-30,Operational
19,MCH-000019,39,Precision Assembly Line 008,Assembly Machine,2017-01-20,Operational
20,MCH-000020,78,Case Sealing System 003,Packaging Machine,2018-10-17,Maintenance
21,MCH-000021,23,Laser Cutting System 005,Cutting Machine,2016-11-28,Operational
22,MCH-000022,36,Servo Press System 004,Press Machine,2016-12-30,Operational
23,MCH-000023,50,Precision Slitting Machine 006,Cutting Machine,2018-12-14,Operational
24,MCH-000024,85,CNC Turning Center 003,CNC Machine,2017-11-07,Operational
25,MCH-000025,44,CNC Precision Mill 004,CNC Machine,2018-06-07,Operational
26,MCH-000026,23,Hydraulic Press 005,Press Machine,2016-08-11,Operational
27,MCH-000027,61,Industrial Sawing Center 007,Cutting Machine,2017-01-14,Operational
28,MCH-000028,87,CNC Vertical Machining Center 005,CNC Machine,2016-05-17,Operational
29,MCH-000029,83,CNC Horizontal Machining Center 006,CNC Machine,2017-04-11,Operational
30,MCH-000030,76,Flexible Packaging Line 004,Packaging Machine,2016-01-15,Operational
31,MCH-000031,10,Automated Carton Packer 005,Packaging Machine,2016-05-28,Operational
32,MCH-000032,70,High-Speed Labeling Machine 006,Packaging Machine,2018-01-23,Operational
33,MCH-000033,73,Case Sealing System 007,Packaging Machine,2017-10-10,Operational
34,MCH-000034,49,Mechanical Stamping Press 006,Press Machine,2016-02-21,Operational
35,MCH-000035,17,Automated Assembly Cell 009,Assembly Machine,2018-07-11,Operational
36,MCH-000036,80,Flexible Packaging Line 008,Packaging Machine,2016-12-11,Operational
37,MCH-000037,69,Automated Carton Packer 009,Packaging Machine,2018-05-07,Operational
38,MCH-000038,79,Servo Assembly Station 010,Assembly Machine,2017-06-05,Operational
39,MCH-000039,72,CNC Turning Center 007,CNC Machine,2017-03-09,Operational
40,MCH-000040,25,CNC Plasma Cutting System 008,Cutting Machine,2016-05-02,Maintenance
41,MCH-000041,86,High-Speed Labeling Machine 010,Packaging Machine,2018-09-23,Operational
42,MCH-000042,58,Case Sealing System 011,Packaging Machine,2018-04-22,Operational
43,MCH-000043,94,Robotic Assembly Cell 011,Assembly Machine,2017-01-23,Operational
44,MCH-000044,57,Flexible Packaging Line 012,Packaging Machine,2018-12-10,Operational
45,MCH-000045,46,CNC Precision Mill 008,CNC Machine,2016-10-12,Operational
46,MCH-000046,90,CNC Vertical Machining Center 009,CNC Machine,2017-12-07,Operational
47,MCH-000047,69,Precision Assembly Line 012,Assembly Machine,2016-08-09,Operational
48,MCH-000048,90,Laser Cutting System 009,Cutting Machine,2017-04-27,Operational
49,MCH-000049,71,Precision Slitting Machine 010,Cutting Machine,2017-06-10,Inactive
50,MCH-000050,21,CNC Horizontal Machining Center 010,CNC Machine,2017-09-09,Operational
51,MCH-000051,14,Industrial Sawing Center 011,Cutting Machine,2018-10-21,Operational
52,MCH-000052,90,CNC Turning Center 011,CNC Machine,2017-09-11,Operational
53,MCH-000053,79,CNC Plasma Cutting System 012,Cutting Machine,2017-06-16,Operational
54,MCH-000054,73,Precision Forming Press 007,Press Machine,2018-04-11,Operational
55,MCH-000055,80,Automated Carton Packer 013,Packaging Machine,2017-05-26,Operational
56,MCH-000056,67,Laser Cutting System 013,Cutting Machine,2016-02-04,Maintenance
57,MCH-000057,71,Automated Assembly Cell 013,Assembly Machine,2016-05-03,Operational
58,MCH-000058,93,Precision Slitting Machine 014,Cutting Machine,2018-12-26,Operational
