maintenance_key,maintenance_id,date_key,location_key,machine_key,employee_key,maintenance_type,maintenance_hours,downtime_hours,maintenance_cost
1,MNT-000001,20210319,7,262,3954,Inspection,2.99,8.91,982.18
2,MNT-000002,20201202,82,833,2939,Inspection,6.85,13.53,3975.74
3,MNT-000003,20190615,71,1936,1470,Inspection,1.57,7.93,3383.61
4,MNT-000004,20250404,70,458,3909,Inspection,6.92,22.81,3604.39
5,MNT-000005,20191021,84,1580,4284,Preventive,1.44,21.92,6465.3
6,MNT-000006,20191030,30,1815,4693,Corrective,3.98,21.02,3007.18
7,MNT-000007,20240720,62,653,3494,Inspection,1.96,20.18,8639.21
8,MNT-000008,20240426,23,1404,362,Corrective,3.11,22.51,3636.01
9,MNT-000009,20210418,56,1606,4674,Corrective,3.6,23.9,7541.71
10,MNT-000010,20191107,82,1804,2696,Preventive,2.36,13.75,343.77
11,MNT-000011,20200713,46,47,3061,Corrective,7.74,1.09,1911.59
12,MNT-000012,20211223,52,623,3856,Corrective,6.92,3.94,107.2
13,MNT-000013,20250729,97,1411,3307,Inspection,4.43,5.91,7664.37
14,MNT-000014,20240102,95,1206,1348,Preventive,2.57,3.66,9592.49
15,MNT-000015,20230316,66,1842,740,Preventive,1.43,18.01,7140.11
16,MNT-000016,20230518,15,837,4961,Corrective,4.79,0.86,5042.09
17,MNT-000017,20220419,29,508,1988,Corrective,2.8,8.15,3414.19
18,MNT-000018,20220206,57,1383,1033,Preventive,2.71,16.18,6980.93
19,MNT-000019,20190114,52,1716,2452,Preventive,1.78,15.01,9334.67
20,MNT-000020,20211218,14,1164,503,Corrective,4.98,14.89,6563.77
21,MNT-000021,20200917,62,622,3727,Corrective,3.31,8.36,4129.39
22,MNT-000022,20251110,98,247,2550,Preventive,3.74,8.69,4922.56
23,MNT-000023,20250112,89,1742,1822,Preventive,4.01,9.47,1725.58
24,MNT-000024,20190701,19,730,4208,Inspection,5.78,22.96,5001.16
25,MNT-000025,20190727,90,639,2671,Inspection,3.41,12.62,4515.89
26,MNT-000026,20240503,86,1077,4502,Inspection,5.41,3.96,1952.81
27,MNT-000027,20221015,72,1347,1118,Inspection,7.89,0.55,2337.54
28,MNT-000028,20220716,36,128,2844,Inspection,2.61,9.98,3487.57
29,MNT-000029,20200207,2,857,4855,Corrective,0.96,18.06,5344.07
30,MNT-000030,20230901,57,1806,1199,Corrective,4.51,13.9,2679.84
31,MNT-000031,20230417,19,534,407,Corrective,3.89,20.2,3064.62
32,MNT-000032,20230830,69,983,3992,Preventive,3.56,13.07,2220.29
33,MNT-000033,20210127,4,335,3212,Preventive,1.56,14.45,7485.96
