waste_key,waste_id,date_key,location_key,waste_category,disposal_method,unit_of_measure,waste_quantity
1,WST-000001,20230526,77,Chemical,Landfill,kg,531.86
2,WST-000002,20191214,72,General,Treatment,kg,143.752
3,WST-000003,20200511,51,Plastic,Landfill,kg,102.881
4,WST-000004,20240115,15,Paper,Treatment,kg,620.23
5,WST-000005,20220418,1,General,Reuse,kg,769.115
6,WST-000006,20220717,17,Paper,Recycling,kg,369.459
7,WST-000007,20210720,68,Chemical,Treatment,kg,703.848
8,WST-000008,20210416,37,Plastic,Landfill,kg,76.32
9,WST-000009,20251223,6,Paper,Treatment,kg,99.124
10,WST-000010,20200909,62,Chemical,Recycling,kg,564.681
11,WST-000011,20200130,93,Plastic,Recycling,kg,716.761
12,WST-000012,20250428,8,General,Treatment,kg,545.223
13,WST-000013,20200414,60,Plastic,Recycling,kg,231.948
14,WST-000014,20190131,81,Plastic,Reuse,kg,426.28
15,WST-000015,20210327,94,Plastic,Recycling,kg,932.664
16,WST-000016,20250821,32,Metal,Reuse,kg,567.372
17,WST-000017,20191209,92,Plastic,Reuse,kg,189.922
18,WST-000018,20240626,45,Plastic,Reuse,kg,220.722
19,WST-000019,20211126,8,Chemical,Landfill,kg,207.017
20,WST-000020,20200204,91,General,Treatment,kg,927.596
21,WST-000021,20220108,30,Chemical,Landfill,kg,807.091
22,WST-000022,20190814,13,General,Reuse,kg,326.038
23,WST-000023,20210623,39,Plastic,Treatment,kg,660.534
24,WST-000024,20210304,50,Plastic,Treatment,kg,704.72
25,WST-000025,20251028,60,Plastic,Landfill,kg,715.788
26,WST-000026,20241224,100,Paper,Reuse,kg,392.887
27,WST-000027,20201128,52,Chemical,Landfill,kg,851.305
28,WST-000028,20241231,77,Metal,Recycling,kg,296.858
29,WST-000029,20190209,57,Metal,Recycling,kg,754.382
30,WST-000030,20210907,14,Plastic,Reuse,kg,821.867
31,WST-000031,20240930,98,Metal,Treatment,kg,976.001
32,WST-000032,20190718,12,General,Treatment,kg,304.206
33,WST-000033,20200110,34,Plastic,Landfill,kg,723.633
34,WST-000034,20220705,50,General,Treatment,kg,561.07
35,WST-000035,20240913,99,Paper,Reuse,kg,185.976
36,WST-000036,20200830,44,Paper,Reuse,kg,871.701
37,WST-000037,20220906,47,Metal,Recycling,kg,658.464
38,WST-000038,20211124,85,Plastic,Landfill,kg,980.237
39,WST-000039,20190428,81,Chemical,Recycling,kg,496.041
40,WST-000040,20210421,30,Chemical,Landfill,kg,495.918
41,WST-000041,20240521,74,Paper,Recycling,kg,789.23
42,WST-000042,20241001,56,Metal,Recycling,kg,126.72
43,WST-000043,20210831,11,Paper,Reuse,kg,112.989
44,WST-000044,20210710,42,Paper,Reuse,kg,179.201
45,WST-000045,20220721,50,General,Reuse,kg,129.504
46,WST-000046,20250614,15,Paper,Treatment,kg,772.242
47,WST-000047,20200629,28,Chemical,Treatment,kg,848.429
48,WST-000048,20210930,38,Plastic,Recycling,kg,766.911
49,WST-000049,20210311,30,Plastic,Treatment,kg,652.764
50,WST-000050,20230518,77,Chemical,Recycling,kg,285.888
51,WST-000051,20200706,87,Chemical,Treatment,kg,620.74
52,WST-000052,20231116,49,Chemical,Landfill,kg,723.103
53,WST-000053,20250226,57,Metal,Treatment,kg,844.397
54,WST-000054,20220327,89,General,Landfill,kg,504.978
55,WST-000055,20190228,11,Chemical,Reuse,kg,179.933
56,WST-000056,20210702,39,Chemical,Landfill,kg,16.09
57,WST-000057,20200426,4,Metal,Recycling,kg,551.75
58,WST-000058,20220908,95,Paper,Reuse,kg,310.96
59,WST-000059,20240210,64,Chemical,Treatment,kg,39.195
60,WST-000060,20220306,85,Plastic,Landfill,kg,200.923
61,WST-000061,20240619,88,General,Treatment,kg,357.217
62,WST-000062,20210629,45,Paper,Recycling,kg,381.659
63,WST-000063,20210614,66,General,Treatment,kg,747.676
64,WST-000064,20230327,28,General,Recycling,kg,51.042
65,WST-000065,20241226,2,Plastic,Recycling,kg,198.39
66,WST-000066,20200808,58,Plastic,Reuse,kg,47.822
67,WST-000067,20210311,25,General,Reuse,kg,59.448
68,WST-000068,20220423,30,General,Recycling,kg,932.715
69,WST-000069,20240113,38,Metal,Treatment,kg,444.374
70,WST-000070,20200604,40,Plastic,Reuse,kg,365.37
71,WST-000071,20240823,11,Plastic,Landfill,kg,826.91
