maintenance_id,date,location_id,machine_id,employee_id,maintenance_type,downtime_hours,maintenance_cost
MAINT-0000001,2025-10-25,LOC-0048,MCH-001415,EMP-002238,Preventive,4.85,812.71
MAINT-0000002,2023-04-15,LOC-0080,MCH-000444,EMP-002903,Corrective,12.87,242.3
MAINT-0000003,2025-09-08,LOC-0073,MCH-000340,EMP-003596,Corrective,6.01,52.76
MAINT-0000004,2025-10-26,LOC-0083,MCH-000325,EMP-004838,Corrective,8.48,736.97
MAINT-0000005,2024-10-29,LOC-0038,MCH-001645,EMP-003877,Emergency,1.62,104.08
MAINT-0000006,2025-02-03,LOC-0034,MCH-001411,EMP-004844,Preventive,20.19,1427.96
MAINT-0000007,2025-09-25,LOC-0018,MCH-000531,EMP-000484,Preventive,15.46,365.31
MAINT-0000008,2024-10-25,LOC-0076,MCH-000279,EMP-004990,Corrective,1.95,212.4
MAINT-0000009,2025-01-26,LOC-0028,MCH-000217,EMP-004836,Corrective,16.92,187.43
MAINT-0000010,2025-12-02,LOC-0063,MCH-000780,EMP-003131,Emergency,10.28,628.81
MAINT-0000011,2023-05-13,LOC-0045,MCH-000271,EMP-004552,Inspection,15.28,1067.26
MAINT-0000012,2024-07-20,LOC-0057,MCH-001874,EMP-001317,Corrective,12.57,428.86
MAINT-0000013,2023-12-25,LOC-0001,MCH-000991,EMP-004732,Corrective,3.86,493.12
MAINT-0000014,2025-09-09,LOC-0062,MCH-000835,EMP-003933,Corrective,7.9,1777.11
MAINT-0000015,2025-07-26,LOC-0092,MCH-001245,EMP-000486,Preventive,7.64,394.14
MAINT-0000016,2025-08-11,LOC-0070,MCH-001666,EMP-003593,Preventive,23.22,394.32
MAINT-0000017,2025-08-05,LOC-0013,MCH-000448,EMP-001855,Preventive,1.17,0.0
MAINT-0000018,2025-11-15,LOC-0077,MCH-001841,EMP-004715,Emergency,17.29,171.18
MAINT-0000019,2025-11-24,LOC-0062,MCH-000354,EMP-002521,Preventive,5.82,362.72
MAINT-0000020,2025-10-21,LOC-0014,MCH-000003,EMP-003623,Emergency,5.45,280.71
MAINT-0000021,2025-12-25,LOC-0088,MCH-001079,EMP-002000,Inspection,12.06,160.1
MAINT-0000022,2023-10-03,LOC-0080,MCH-001039,EMP-000739,Inspection,10.82,610.38
MAINT-0000023,2025-08-26,LOC-0096,MCH-001105,EMP-002889,Corrective,7.44,126.17
MAINT-0000024,2021-09-21,LOC-0030,MCH-000831,EMP-003997,Corrective,18.58,54.99
MAINT-0000025,2024-02-12,LOC-0046,MCH-000776,EMP-004959,Preventive,10.89,180.24
MAINT-0000026,2025-08-19,LOC-0011,MCH-001053,EMP-003741,Corrective,14.84,409.99
MAINT-0000027,2024-12-01,LOC-0084,MCH-000586,EMP-003610,Inspection,10.71,180.28
MAINT-0000028,2025-09-18,LOC-0024,MCH-000465,EMP-002494,Preventive,15.0,515.99
MAINT-0000029,2025-09-18,LOC-0088,MCH-000650,EMP-004483,Preventive,2.25,319.42
MAINT-0000030,2025-10-06,LOC-0059,MCH-000226,EMP-004423,Preventive,13.98,306.88
MAINT-0000031,2025-07-10,LOC-0048,MCH-001758,EMP-003001,Emergency,1.52,426.2
MAINT-0000032,2023-11-04,LOC-0076,MCH-001048,EMP-003790,Preventive,22.32,401.13
MAINT-0000033,2023-03-15,LOC-0070,MCH-000096,EMP-003425,Inspection,21.62,746.49
MAINT-0000034,2023-07-28,LOC-0040,MCH-000012,EMP-002459,Emergency,1.23,373.53
MAINT-0000035,2025-12-22,LOC-0038,MCH-001427,EMP-003510,Corrective,19.81,307.15
MAINT-0000036,2025-08-19,LOC-0055,MCH-001786,EMP-004788,Corrective,17.58,499.59
MAINT-0000037,2025-12-17,LOC-0049,MCH-000996,EMP-003634,Corrective,0.74,1274.6
MAINT-0000038,2023-11-13,LOC-0049,MCH-000954,EMP-003063,Preventive,22.0,140.52
MAINT-0000039,2022-07-26,LOC-0066,MCH-000246,EMP-003828,Corrective,5.01,419.7
MAINT-0000040,2025-11-02,LOC-0060,MCH-001264,EMP-001737,Corrective,23.82,358.69
MAINT-0000041,2025-10-01,LOC-0008,MCH-001046,EMP-000661,Preventive,21.72,1115.31
MAINT-0000042,2023-04-12,LOC-0048,MCH-000866,EMP-000963,Corrective,21.83,253.91
MAINT-0000043,2025-02-09,LOC-0026,MCH-001667,EMP-003421,Corrective,13.88,422.0
MAINT-0000044,2023-12-01,LOC-0040,MCH-000135,EMP-002611,Corrective,9.27,406.47
MAINT-0000045,2025-08-13,LOC-0032,MCH-000970,EMP-001399,Preventive,12.5,91.14
MAINT-0000046,2024-01-21,LOC-0028,MCH-001861,EMP-003011,Preventive,20.43,166.36
MAINT-0000047,2025-12-10,LOC-0064,MCH-001122,EMP-002335,Inspection,20.4,246.0
MAINT-0000049,2023-06-27,LOC-0002,MCH-001215,EMP-001297,Preventive,7.65,692.17
MAINT-0000050,2025-12-30,LOC-0091,MCH-001946,EMP-001173,Corrective,21.75,989.53
MAINT-0000051,2025-08-10,LOC-0074,MCH-001583,EMP-000702,Preventive,2.34,422.94
MAINT-0000052,2023-02-12,LOC-0076,MCH-001206,EMP-003086,Inspection,8.72,931.52
MAINT-0000053,2025-12-12,LOC-0054,MCH-000262,EMP-004753,Corrective,15.22,313.7
MAINT-0000054,2025-10-04,LOC-0003,MCH-001688,EMP-002790,Corrective,15.34,183.3
