machine_key,machine_id,location_key,machine_name,machine_type,installation_date,status
1,MCH-000001,3,Hydraulic Press 001,Press Machine,2018-10-10,Operational
2,MCH-000002,60,Mechanical Stamping Press 002,Press Machine,2017-03-06,Operational
3,MCH-000003,9,Precision Forming Press 003,Press Machine,2018-12-22,Inactive
4,MCH-000004,64,Laser Cutting System 001,Cutting Machine,2018-10-27,Operational
5,MCH-000005,9,Automated Carton Packer 001,Packaging Machine,2016-10-25,Operational
6,MCH-000006,100,Servo Press System 004,Press Machine,2016-09-13,Operational
7,MCH-000007,17,CNC Vertical Machining Center 001,CNC Machine,2018-02-22,Operational
8,MCH-000008,98,Hydraulic Press 005,Press Machine,2016-05-14,Operational
9,MCH-000009,70,High-Speed Labeling Machine 002,Packaging Machine,2016-10-28,Operational
10,MCH-000010,5,Automated Assembly Cell 001,Assembly Machine,2018-11-07,Operational
11,MCH-000011,16,Mechanical Stamping Press 006,Press Machine,2018-07-21,Operational
12,MCH-000012,95,CNC Horizontal Machining Center 002,CNC Machine,2017-01-30,Operational
13,MCH-000013,43,Precision Slitting Machine 002,Cutting Machine,2016-04-10,Operational
14,MCH-000014,27,Precision Forming Press 007,Press Machine,2016-08-08,Operational
15,MCH-000015,90,Case Sealing System 003,Packaging Machine,2018-04-07,Operational
16,MCH-000016,63,Servo Press System 008,Press Machine,2016-07-19,Operational
17,MCH-000017,50,Industrial Sawing Center 003,Cutting Machine,2017-06-24,Operational
18,MCH-000018,16,CNC Plasma Cutting System 004,Cutting Machine,2016-04-10,Operational
19,MCH-000019,84,Flexible Packaging Line 004,Packaging Machine,2018-09-23,Operational
20,MCH-000020,97,Servo Assembly Station 002,Assembly Machine,2016-08-11,Operational
21,MCH-000021,8,Automated Carton Packer 005,Packaging Machine,2016-12-10,Operational
22,MCH-000022,30,High-Speed Labeling Machine 006,Packaging Machine,2018-01-28,Operational
23,MCH-000023,41,CNC Turning Center 003,CNC Machine,2018-08-08,Operational
24,MCH-000024,35,CNC Precision Mill 004,CNC Machine,2018-12-24,Operational
25,MCH-000025,9,Laser Cutting System 005,Cutting Machine,2016-01-19,Operational
26,MCH-000026,19,Hydraulic Press 009,Press Machine,2017-08-21,Inactive
27,MCH-000027,84,CNC Vertical Machining Center 005,CNC Machine,2016-09-25,Operational
28,MCH-000028,42,Case Sealing System 007,Packaging Machine,2017-03-05,Operational
29,MCH-000029,96,Precision Slitting Machine 006,Cutting Machine,2018-04-23,Maintenance
30,MCH-000030,38,Mechanical Stamping Press 010,Press Machine,2016-01-10,Operational
31,MCH-000031,17,Robotic Assembly Cell 003,Assembly Machine,2018-04-03,Operational
32,MCH-000032,41,Industrial Sawing Center 007,Cutting Machine,2016-06-22,Inactive
33,MCH-000033,69,Precision Forming Press 011,Press Machine,2018-05-31,Operational
34,MCH-000034,77,CNC Horizontal Machining Center 006,CNC Machine,2017-02-15,Operational
35,MCH-000035,16,CNC Plasma Cutting System 008,Cutting Machine,2016-03-05,Operational
36,MCH-000036,36,CNC Turning Center 007,CNC Machine,2016-03-27,Operational
37,MCH-000037,73,CNC Precision Mill 008,CNC Machine,2016-11-29,Operational
38,MCH-000038,87,Laser Cutting System 009,Cutting Machine,2016-02-18,Operational
39,MCH-000039,19,CNC Vertical Machining Center 009,CNC Machine,2018-07-02,Operational
40,MCH-000040,35,Flexible Packaging Line 008,Packaging Machine,2016-02-14,Operational
41,MCH-000041,56,CNC Horizontal Machining Center 010,CNC Machine,2016-02-13,Maintenance
42,MCH-000042,61,Automated Carton Packer 009,Packaging Machine,2018-11-11,Operational
43,MCH-000043,50,High-Speed Labeling Machine 010,Packaging Machine,2016-06-13,Operational
44,MCH-000044,67,Servo Press System 012,Press Machine,2018-05-09,Inactive
45,MCH-000045,40,Precision Assembly Line 004,Assembly Machine,2018-08-03,Maintenance
46,MCH-000046,36,Hydraulic Press 013,Press Machine,2017-01-19,Operational
47,MCH-000047,46,Case Sealing System 011,Packaging Machine,2018-10-26,Operational
48,MCH-000048,82,Automated Assembly Cell 005,Assembly Machine,2018-04-28,Operational
49,MCH-000049,75,Precision Slitting Machine 010,Cutting Machine,2017-05-14,Operational
50,MCH-000050,31,Flexible Packaging Line 012,Packaging Machine,2016-12-08,Operational
51,MCH-000051,28,Servo Assembly Station 006,Assembly Machine,2018-08-25,Operational
52,MCH-000052,54,Robotic Assembly Cell 007,Assembly Machine,2016-04-25,Operational
53,MCH-000053,7,CNC Turning Center 011,CNC Machine,2018-06-24,Operational
54,MCH-000054,80,Industrial Sawing Center 011,Cutting Machine,2018-12-09,Operational
55,MCH-000055,85,CNC Precision Mill 012,CNC Machine,2018-07-07,Operational
56,MCH-000056,29,Automated Carton Packer 013,Packaging Machine,2016-11-19,Operational
57,MCH-000057,3,Mechanical Stamping Press 014,Press Machine,2017-03-07,Operational
58,MCH-000058,45,High-Speed Labeling Machine 014,Packaging Machine,2018-05-30,Operational
59,MCH-000059,17,Case Sealing System 015,Packaging Machine,2016-01-26,Maintenance
60,MCH-000060,72,CNC Plasma Cutting System 012,Cutting Machine,2018-07-11,Operational
61,MCH-000061,58,CNC Vertical Machining Center 013,CNC Machine,2018-11-04,Maintenance
62,MCH-000062,46,Precision Forming Press 015,Press Machine,2017-11-20,Operational
63,MCH-000063,81,CNC Horizontal Machining Center 014,CNC Machine,2017-07-03,Operational
64,MCH-000064,39,Servo Press System 016,Press Machine,2016-10-08,Operational
65,MCH-000065,25,Flexible Packaging Line 016,Packaging Machine,2017-11-09,Operational
66,MCH-000066,34,Automated Carton Packer 017,Packaging Machine,2018-05-17,Operational
67,MCH-000067,75,Laser Cutting System 013,Cutting Machine,2018-07-20,Maintenance
68,MCH-000068,86,Hydraulic Press 017,Press Machine,2016-03-04,Operational
69,MCH-000069,82,High-Speed Labeling Machine 018,Packaging Machine,2017-02-25,Operational
70,MCH-000070,7,CNC Turning Center 015,CNC Machine,2016-06-02,Operational
71,MCH-000071,5,Mechanical Stamping Press 018,Press Machine,2018-09-14,Operational
72,MCH-000072,40,Case Sealing System 019,Packaging Machine,2017-04-28,Operational
73,MCH-000073,56,Precision Slitting Machine 014,Cutting Machine,2018-11-11,Operational
74,MCH-000074,37,Precision Forming Press 019,Press Machine,2017-04-29,Operational
75,MCH-000075,68,CNC Precision Mill 016,CNC Machine,2017-12-08,Operational
76,MCH-000076,61,CNC Vertical Machining Center 017,CNC Machine,2016-02-21,Operational
77,MCH-000077,63,Flexible Packaging Line 020,Packaging Machine,2017-08-18,Operational
78,MCH-000078,91,Precision Assembly Line 008,Assembly Machine,2017-08-25,Operational
79,MCH-000079,76,Automated Assembly Cell 009,Assembly Machine,2016-08-31,Operational
80,MCH-000080,72,CNC Horizontal Machining Center 018,CNC Machine,2016-10-22,Operational
81,MCH-000081,9,Automated Carton Packer 021,Packaging Machine,2018-07-09,Maintenance
82,MCH-000082,62,High-Speed Labeling Machine 022,Packaging Machine,2017-12-07,Operational
83,MCH-000083,31,Case Sealing System 023,Packaging Machine,2017-09-10,Operational
84,MCH-000084,83,Industrial Sawing Center 015,Cutting Machine,2018-11-01,Operational
85,MCH-000085,79,Servo Press System 020,Press Machine,2016-04-13,Operational
86,MCH-000086,75,CNC Turning Center 019,CNC Machine,2018-11-28,Operational
87,MCH-000087,98,Servo Assembly Station 010,Assembly Machine,2018-09-04,Inactive
88,MCH-000088,63,CNC Plasma Cutting System 016,Cutting Machine,2017-03-03,Inactive
89,MCH-000089,2,Robotic Assembly Cell 011,Assembly Machine,2017-06-11,Operational
90,MCH-000090,89,Laser Cutting System 017,Cutting Machine,2016-09-08,Operational
91,MCH-000091,15,Flexible Packaging Line 024,Packaging Machine,2018-10-04,Operational
92,MCH-000092,35,Automated Carton Packer 025,Packaging Machine,2018-06-29,Operational
93,MCH-000093,95,CNC Precision Mill 020,CNC Machine,2017-07-13,Operational
